surface,label,n,erg_mean,erg_median,erg_max,coverage_mean,coverage_median,coverage_max,standoff_err_mean,standoff_err_median,standoff_err_max,pointing_deg_mean,pointing_deg_median,pointing_deg_max,path_len_mean,path_len_median,path_len_max,hit_frac_mean,hit_frac_median,hit_frac_max
ebene_flach,"Ebene, waagerecht",25,0.060087,0.05915,0.081063,0.12416,0.125919,0.147904,0.00982,0.005603,0.042792,14.371653,12.796422,42.453835,2.08689,2.080878,3.002267,0.594866,0.5143,1.0
ebene_gekippt,"Ebene, 50° gekippt",25,0.057476,0.056702,0.094498,0.126678,0.126235,0.165576,0.00968,0.008876,0.037849,13.666126,10.025016,44.740253,2.098163,2.105713,2.941178,0.594866,0.5143,1.0
ebene_diagonal,"Ebene, Raumdiagonale",25,0.056843,0.056189,0.078177,0.122491,0.122216,0.14686,0.008343,0.00636,0.041788,12.902617,9.779847,42.480339,1.902795,1.840878,2.789085,0.594866,0.5143,1.0
kugel,Kugel,25,0.046174,0.043024,0.083603,0.124875,0.122532,0.161087,0.008017,0.006921,0.039836,20.298209,14.836148,61.134518,3.02786,3.132967,3.815953,0.281234,0.24515,0.4972
wuerfel,Würfel,25,0.032154,0.031146,0.058184,0.147864,0.148577,0.175637,0.021466,0.01489,0.091404,30.702022,20.906307,107.23848,4.584961,4.719232,5.670191,0.33748,0.2926,0.503
ei,Eiform,25,0.036906,0.035955,0.056049,0.111948,0.111999,0.132089,0.015568,0.016088,0.038712,20.554988,15.733881,61.651894,2.786821,2.848607,4.006082,0.328516,0.2798,0.57625
bunny,Stanford-Bunny,25,0.034045,0.031761,0.04647,0.101722,0.102988,0.124305,0.021141,0.021543,0.03485,31.869006,28.951113,79.782188,2.735451,2.634198,4.111803,0.28221,0.20905,0.4856
prisma,Dreiecksprisma,25,0.044541,0.040947,0.080838,0.12979,0.129407,0.153529,0.009968,0.007387,0.057868,31.145988,27.630281,105.300858,4.025936,4.058357,5.604851,0.41781,0.36325,0.6278
kegel,Kegel,25,0.032287,0.029832,0.055764,0.120259,0.123283,0.141677,0.014027,0.006259,0.067383,28.598775,23.664244,87.691391,3.479077,3.492116,4.743246,0.452728,0.40365,0.68035
torus,Torus,25,0.063768,0.065224,0.081653,0.124189,0.124701,0.149338,0.016211,0.011793,0.048944,26.712693,24.406082,49.074615,2.287669,2.185871,3.585064,0.302056,0.24855,0.50675
TOTAL,all surfaces,250,0.046428,0.046396,0.094498,0.123398,0.122582,0.175637,0.013424,0.009562,0.091404,23.082208,20.304165,107.23848,2.901562,2.76387,5.670191,0.418663,0.373425,1.0
