shape,surface,erg,coverage,standoff,standoff_sd,pointing_deg,path_len,hit_frac
A,ebene_flach,0.05157108915120304,0.10954678058624268,0.10795892030000687,0.010360462591052055,7.787086009979248,2.3599348068237305,0.4438
A,ebene_gekippt,0.04762831845152517,0.11437065899372101,0.10884719341993332,0.008909491822123528,7.7577009201049805,2.211648941040039,0.4438
A,ebene_diagonal,0.04909140640865296,0.10773681849241257,0.10825614631175995,0.009035924449563026,8.400532722473145,1.9868052005767822,0.4438
A,kugel,0.03982792830678138,0.11020645499229431,0.11172271519899368,0.014011195860803127,11.179032325744629,2.848328113555908,0.19875
A,wuerfel,0.022602041155445493,0.1276901215314865,0.12816280126571655,0.029463961720466614,17.280906677246094,5.117306709289551,0.28295
A,ei,0.032851665701685566,0.09950339049100876,0.09885931015014648,0.013044559396803379,14.814790725708008,2.848607063293457,0.23315
A,bunny,0.03961799700639562,0.1029881164431572,0.1027335599064827,0.017425963655114174,28.17440414428711,2.486797571182251,0.2142
A,prisma,0.026494302700919285,0.11431524902582169,0.11848007887601852,0.024792172014713287,25.00792694091797,4.2086029052734375,0.3162
A,kegel,0.02482169408913921,0.10309585183858871,0.10227224230766296,0.017821036279201508,16.628406524658203,3.952023506164551,0.3722
A,torus,0.05591319372913041,0.10909779369831085,0.09438818693161011,0.01954909972846508,21.13576316833496,2.2889180183410645,0.22385
greek_upper_0,ebene_flach,0.04717924272648622,0.10642886906862259,0.10303780436515808,0.009534509852528572,10.948331832885742,1.9439148902893066,0.4392
greek_upper_0,ebene_gekippt,0.05315661727151572,0.1145126223564148,0.11078137904405594,0.008900637738406658,7.990857124328613,2.492772102355957,0.4392
greek_upper_0,ebene_diagonal,0.05618854531138866,0.11278332024812698,0.11160479485988617,0.011512624099850655,7.262253284454346,2.1069698333740234,0.4392
greek_upper_0,kugel,0.0395411867964176,0.11614681780338287,0.1080423891544342,0.00997119303792715,9.049468040466309,3.239368438720703,0.19825
greek_upper_0,wuerfel,0.026461319717792597,0.1392478495836258,0.1300235539674759,0.031022386625409126,17.981372833251953,4.630544662475586,0.28375
greek_upper_0,ei,0.03463783360617774,0.1066589429974556,0.0996888130903244,0.012178911827504635,11.825310707092285,3.0905351638793945,0.2376
greek_upper_0,bunny,0.02726994120755688,0.08093249797821045,0.09507299959659576,0.02864101529121399,28.951112747192383,3.292809009552002,0.20195
greek_upper_0,prisma,0.032451212895985224,0.11698911339044571,0.1126134917140007,0.032285429537296295,31.35422706604004,4.705174446105957,0.32525
greek_upper_0,kegel,0.022146368434443148,0.10063444077968597,0.10572563856840134,0.02197878807783127,18.07485580444336,3.827448844909668,0.37465
greek_upper_0,torus,0.05143814893772557,0.10979533940553665,0.093889981508255,0.013931376859545708,21.754894256591797,2.18587064743042,0.22465
korean_5,ebene_flach,0.054909359134451975,0.12073975056409836,0.11501012742519379,0.012139180675148964,13.70796012878418,2.5238590240478516,0.6004
korean_5,ebene_gekippt,0.05384881959310631,0.1255827695131302,0.11886977404356003,0.009521154686808586,12.563667297363281,2.6180202960968018,0.6004
korean_5,ebene_diagonal,0.05225418226941586,0.12177454680204391,0.11776473373174667,0.008648610673844814,13.394645690917969,2.0144505500793457,0.6004
korean_5,kugel,0.032065997765473545,0.11263563483953476,0.10929753631353378,0.018256399780511856,24.252269744873047,3.6155738830566406,0.2848
korean_5,wuerfel,0.020618222940092544,0.14701205492019653,0.13299982249736786,0.029009336605668068,20.728012084960938,5.079433917999268,0.34355
korean_5,ei,0.02572474508128106,0.10395831614732742,0.09644834697246552,0.01614711619913578,16.68877410888672,3.3213558197021484,0.334
korean_5,bunny,0.02289978974677663,0.08637265115976334,0.08985035866498947,0.0207976046949625,41.04732894897461,3.18326997756958,0.2506
korean_5,prisma,0.02744359329129602,0.12940748035907745,0.12446810305118561,0.03935312107205391,28.341358184814453,5.450902462005615,0.45645
korean_5,kegel,0.026792434156781043,0.1187315508723259,0.10422484576702118,0.020891737192869186,20.460376739501953,4.280002117156982,0.46845
korean_5,torus,0.06407397294793746,0.13136468827724457,0.10820716619491577,0.023556601256132126,19.088300704956055,2.577688217163086,0.30295
digit_5,ebene_flach,0.05464586311233187,0.11284814774990082,0.11067941784858704,0.0110195716843009,11.545328140258789,2.2490110397338867,0.4363
digit_5,ebene_gekippt,0.05101074992569291,0.11625970155000687,0.1147352010011673,0.012309911660850048,10.929922103881836,2.105713129043579,0.4363
digit_5,ebene_diagonal,0.05384167989689029,0.11483991891145706,0.11291063576936722,0.011626160703599453,11.602272033691406,1.8408777713775635,0.4363
digit_5,kugel,0.04185149447246718,0.11797723174095154,0.11274725198745728,0.013640324585139751,16.548736572265625,2.93061900138855,0.2007
digit_5,wuerfel,0.024108616827973547,0.11805595457553864,0.12261241674423218,0.03832000866532326,34.92182540893555,5.119325160980225,0.2679
digit_5,ei,0.030273404872467147,0.10480951517820358,0.09521909058094025,0.009471829980611801,15.733880996704102,2.8894355297088623,0.2347
digit_5,bunny,0.023203784223965213,0.07828623801469803,0.08979697525501251,0.022675149142742157,38.901153564453125,3.0861079692840576,0.1869
digit_5,prisma,0.041076472275920525,0.10821966081857681,0.10742034018039703,0.026854319497942924,28.550857543945312,4.058357238769531,0.3248
digit_5,kegel,0.02086334194059758,0.09320110082626343,0.09647579491138458,0.02806353196501732,29.95990753173828,3.5530426502227783,0.3557
digit_5,torus,0.05712773258841045,0.11855483055114746,0.10265348851680756,0.014838067814707756,23.980979919433594,2.758671760559082,0.24155
a_lc,ebene_flach,0.04756983962414624,0.10407152026891708,0.0991414487361908,0.0061202202923595905,10.279863357543945,2.0207858085632324,0.3949
a_lc,ebene_gekippt,0.047723303500816563,0.10562698543071747,0.10384885966777802,0.007465792819857597,8.588178634643555,1.6398983001708984,0.3949
a_lc,ebene_diagonal,0.05108554900408187,0.10632098466157913,0.10392892360687256,0.007558915298432112,7.6337761878967285,1.543450117111206,0.3949
a_lc,kugel,0.0408066948776333,0.09724736958742142,0.10269402712583542,0.01332654058933258,10.72137451171875,2.6862168312072754,0.14855
a_lc,wuerfel,0.031146377818400548,0.1262698471546173,0.11706186085939407,0.03376604989171028,19.659391403198242,4.719231605529785,0.2617
a_lc,ei,0.03738860931549793,0.09728799760341644,0.0922657772898674,0.01363775972276926,11.54446029663086,2.326740026473999,0.1699
a_lc,bunny,0.025917722007249885,0.08707165718078613,0.08764970302581787,0.015389565378427505,25.668197631835938,2.7326674461364746,0.18415
a_lc,prisma,0.038941099019055236,0.1082230806350708,0.10851911455392838,0.03109978698194027,25.133331298828125,3.748255729675293,0.3279
