surface,label,n,erg_mean,erg_median,erg_max,coverage_mean,coverage_median,coverage_max,standoff_err_mean,standoff_err_median,standoff_err_max,pointing_deg_mean,pointing_deg_median,pointing_deg_max,path_len_mean,path_len_median,path_len_max,hit_frac_mean,hit_frac_median,hit_frac_max
ebene_flach,"Ebene, waagerecht",25,0.00382,0.002677,0.021916,0.04371,0.040054,0.070014,0.083702,0.090437,0.105724,54.839511,52.899612,70.901123,2.240324,2.14332,3.523642,0.594866,0.5143,1.0
ebene_gekippt,"Ebene, 50° gekippt",25,0.004697,0.002816,0.03535,0.046867,0.041574,0.108447,0.083869,0.09083,0.10308,47.710737,46.346687,63.4734,2.075971,2.166845,2.864518,0.594866,0.5143,1.0
ebene_diagonal,"Ebene, Raumdiagonale",25,0.003874,0.002429,0.026122,0.042657,0.039876,0.079141,0.085282,0.091254,0.101533,48.044541,48.682083,60.956467,1.971566,1.989853,2.592265,0.594866,0.5143,1.0
kugel,Kugel,25,0.007393,0.004849,0.037586,0.05908,0.050413,0.111128,0.082018,0.091178,0.102941,81.722203,81.770126,99.735214,2.239085,2.22854,2.94829,0.281234,0.24515,0.4972
wuerfel,Würfel,25,0.012971,0.007376,0.075172,0.085117,0.073921,0.174153,0.065796,0.073365,0.097475,64.483693,61.183807,105.504791,3.692822,3.72333,4.712118,0.33748,0.2926,0.503
ei,Eiform,25,0.006263,0.004163,0.028602,0.054229,0.048846,0.104632,0.086632,0.092749,0.104598,85.290466,84.117325,102.432953,1.962117,1.989468,2.578535,0.328516,0.2798,0.57625
bunny,Stanford-Bunny,25,0.005685,0.003778,0.028505,0.054738,0.050094,0.099747,0.079804,0.084733,0.098444,66.108414,64.534805,96.639999,2.05149,2.0591,2.968908,0.28221,0.20905,0.4856
prisma,Dreiecksprisma,25,0.013855,0.009463,0.076115,0.077127,0.069897,0.138137,0.070648,0.077912,0.090713,71.47019,69.801392,114.75415,3.311242,3.36707,4.691668,0.41781,0.36325,0.6278
kegel,Kegel,25,0.006894,0.003885,0.044941,0.062148,0.056897,0.119994,0.078002,0.087593,0.099126,76.313779,77.047974,108.54023,2.730563,2.553182,3.779233,0.452728,0.40365,0.68035
torus,Torus,25,0.006156,0.004088,0.030485,0.053881,0.050567,0.111331,0.077369,0.084614,0.094475,74.576374,71.70401,102.233376,2.241055,2.210601,3.504592,0.302056,0.24855,0.50675
TOTAL,all surfaces,250,0.007161,0.004066,0.076115,0.057955,0.051628,0.174153,0.079312,0.08564,0.105724,67.055991,65.846909,114.75415,2.451624,2.323451,4.712118,0.418663,0.373425,1.0
