surface,label,n,erg_mean,erg_median,erg_max,coverage_mean,coverage_median,coverage_max,standoff_err_mean,standoff_err_median,standoff_err_max,pointing_deg_mean,pointing_deg_median,pointing_deg_max,path_len_mean,path_len_median,path_len_max,hit_frac_mean,hit_frac_median,hit_frac_max
ebene_flach,"Ebene, waagerecht",25,0.005376,0.003633,0.033611,0.050496,0.047456,0.099835,0.087308,0.092212,0.100119,67.091748,67.744873,76.919838,1.753624,1.745971,2.430104,0.594866,0.5143,1.0
ebene_gekippt,"Ebene, 50° gekippt",25,0.010254,0.0088,0.034242,0.071211,0.07151,0.097548,0.072063,0.078636,0.091712,81.665325,80.720818,96.367233,2.073142,1.967261,3.370304,0.594866,0.5143,1.0
ebene_diagonal,"Ebene, Raumdiagonale",25,0.01033,0.008956,0.024119,0.073896,0.074842,0.098891,0.073549,0.076338,0.091764,83.046197,82.496536,100.146866,1.820242,1.746169,2.503812,0.594866,0.5143,1.0
kugel,Kugel,25,0.050421,0.041838,0.114354,0.113589,0.115146,0.162302,0.031147,0.03358,0.068879,50.707277,53.922619,73.675659,2.459572,2.323975,3.776706,0.281234,0.24515,0.4972
wuerfel,Würfel,25,0.052236,0.051849,0.084149,0.170441,0.174156,0.22413,0.037309,0.034264,0.111032,90.893175,90.304138,123.458809,3.370448,3.260002,6.649284,0.33748,0.2926,0.503
ei,Eiform,25,0.022015,0.015767,0.059681,0.0891,0.086958,0.119777,0.057371,0.060696,0.083677,81.527759,85.393372,102.590446,2.058394,1.994188,3.556076,0.328516,0.2798,0.57625
bunny,Stanford-Bunny,25,0.015922,0.013686,0.039577,0.094801,0.094745,0.140881,0.060262,0.063443,0.084865,91.615783,92.768295,106.524673,2.184469,2.152234,3.228544,0.28221,0.20905,0.4856
prisma,Dreiecksprisma,25,0.040325,0.039641,0.06406,0.155299,0.156513,0.180563,0.042876,0.040502,0.076931,90.476859,90.590164,104.469971,2.950777,2.729716,4.561563,0.41781,0.36325,0.6278
kegel,Kegel,25,0.013886,0.012088,0.040299,0.096316,0.097474,0.133946,0.062977,0.068838,0.094529,93.706342,95.580986,104.474472,2.541166,2.476924,4.067778,0.452728,0.40365,0.68035
torus,Torus,25,0.004884,0.003669,0.031808,0.055478,0.051608,0.110886,0.077233,0.082464,0.091454,90.740676,89.317963,128.582092,1.861464,1.731848,3.031203,0.302056,0.24855,0.50675
TOTAL,all surfaces,250,0.022565,0.013472,0.114354,0.097063,0.086808,0.22413,0.060209,0.063829,0.111032,82.147114,85.31686,128.582092,2.30733,2.161801,6.649284,0.418663,0.373425,1.0
