modell,shape,arm,ziel,rec_jsd,rec_cov,laenge,E_erg,cov_solver,rel_fehler,abs_fehler,nutzen_pro_weg
laenge,A,frei,nan,0.12339504600446752,0.028751984238624573,5.7233099937438965,3.0482194423675537,0.03526380658149719,nan,nan,nan
laenge,A,kond,4.0,0.12236458238752153,0.028836345300078392,5.698281764984131,3.058748722076416,0.0353064239025116,0.4245704412460327,0.4245704412460327,-0.041172055235587486
laenge,A,kraft,4.0,0.12423580116715724,0.0360579639673233,4.010316848754883,2.85537052154541,0.04010460153222084,0.002579212188720703,0.002579212188720703,0.0004908105821375681
laenge,A,kond+kraft,4.0,0.1239004325124669,0.03614898771047592,4.009951114654541,2.8471274375915527,0.04012874886393547,0.002487778663635254,0.002487778663635254,0.00029496827206918055
laenge,A,kond,6.0,0.12244321408753692,0.02880546823143959,5.709717750549316,3.045192241668701,0.03525279462337494,-0.048380374908447266,0.048380374908447266,-0.07002758141571107
laenge,A,kraft,6.0,0.13901320142625442,0.03041936457157135,5.98142671585083,2.6133203506469727,0.036639388650655746,-0.00309554735819495,0.00309554735819495,-0.06050811157952237
laenge,A,kond+kraft,6.0,0.1385762228140699,0.030366530641913414,5.981353759765625,2.5989723205566406,0.03658485412597656,-0.0031077067057291297,0.0031077067057291297,-0.058831790605334944
laenge,A,kond,8.0,0.12251766536985671,0.02878427691757679,5.712951183319092,3.0381696224212646,0.035231441259384155,-0.2858811020851135,0.2858811020851135,-0.084698975908457
laenge,A,kraft,8.0,0.15214032534748698,0.02501950040459633,7.79069709777832,2.828655481338501,0.033790551126003265,-0.02616286277770996,0.02616286277770996,-0.013904159161544631
laenge,A,kond+kraft,8.0,0.15140778136267682,0.024999458342790604,7.789096832275391,2.805155038833618,0.03378676250576973,-0.026362895965576172,0.026362895965576172,-0.013560322311920003
laenge,A,kond,11.0,0.12252066262652161,0.028777096420526505,5.710668563842773,3.0385162830352783,0.035231925547122955,-0.4808483123779297,0.4808483123779297,-0.06916807550926056
laenge,A,kraft,11.0,0.1693362913589954,0.025872929021716118,9.760795593261719,2.7796876430511475,0.03527817502617836,-0.11265494606711646,0.11265494606711646,-0.011378677204449824
laenge,A,kond+kraft,11.0,0.16813595250440289,0.025866521522402763,9.76180362701416,2.7692344188690186,0.03533295542001724,-0.1125633066350763,0.1125633066350763,-0.011078612612224273
laenge,A,kond,14.0,0.12252103156893851,0.028773434460163116,5.707508563995361,3.040238380432129,0.035234685987234116,-0.5923208168574742,0.5923208168574742,-0.05531236409857355
laenge,A,kraft,14.0,0.18051104461834286,0.026602493599057198,10.728599548339844,2.9237701892852783,0.03653392195701599,-0.23367146083286827,0.23367146083286827,-0.011411127766111034
laenge,A,kond+kraft,14.0,0.17942235394135791,0.02658826857805252,10.718664169311523,2.9238033294677734,0.03655179962515831,-0.23438113076346256,0.23438113076346256,-0.011215882992025077
laenge,A,kond,18.0,0.1225727184967041,0.02876932919025421,5.705175876617432,3.0417490005493164,0.03523290157318115,-0.683045784632365,0.683045784632365,-0.04534698336999884
laenge,A,kraft,18.0,0.1843263096776491,0.026706179603934288,11.036870002746582,2.989168643951416,0.03677256405353546,-0.3868405554029677,0.3868405554029677,-0.011467126290085488
laenge,A,kond+kraft,18.0,0.18334895484027428,0.026685792952775955,11.019847869873047,2.99822998046875,0.03674909099936485,-0.38778622945149743,0.38778622945149743,-0.011319452487258084
laenge,greek_upper_0,frei,nan,0.12339504600446752,0.028751984238624573,5.7233099937438965,3.0482194423675537,0.03526380658149719,nan,nan,nan
laenge,greek_upper_0,kond,4.0,0.12236458238752153,0.028836345300078392,5.698281764984131,3.058748722076416,0.0353064239025116,0.4245704412460327,0.4245704412460327,-0.041172055235587486
laenge,greek_upper_0,kraft,4.0,0.12423580116715724,0.0360579639673233,4.010316848754883,2.85537052154541,0.04010460153222084,0.002579212188720703,0.002579212188720703,0.0004908105821375681
laenge,greek_upper_0,kond+kraft,4.0,0.1239004325124669,0.03614898771047592,4.009951114654541,2.8471274375915527,0.04012874886393547,0.002487778663635254,0.002487778663635254,0.00029496827206918055
laenge,greek_upper_0,kond,6.0,0.12244321408753692,0.02880546823143959,5.709717750549316,3.045192241668701,0.03525279462337494,-0.048380374908447266,0.048380374908447266,-0.07002758141571107
laenge,greek_upper_0,kraft,6.0,0.13901320142625442,0.03041936457157135,5.98142671585083,2.6133203506469727,0.036639388650655746,-0.00309554735819495,0.00309554735819495,-0.06050811157952237
laenge,greek_upper_0,kond+kraft,6.0,0.1385762228140699,0.030366530641913414,5.981353759765625,2.5989723205566406,0.03658485412597656,-0.0031077067057291297,0.0031077067057291297,-0.058831790605334944
laenge,greek_upper_0,kond,8.0,0.12251766536985671,0.02878427691757679,5.712951183319092,3.0381696224212646,0.035231441259384155,-0.2858811020851135,0.2858811020851135,-0.084698975908457
laenge,greek_upper_0,kraft,8.0,0.15214032534748698,0.02501950040459633,7.79069709777832,2.828655481338501,0.033790551126003265,-0.02616286277770996,0.02616286277770996,-0.013904159161544631
laenge,greek_upper_0,kond+kraft,8.0,0.15140778136267682,0.024999458342790604,7.789096832275391,2.805155038833618,0.03378676250576973,-0.026362895965576172,0.026362895965576172,-0.013560322311920003
laenge,greek_upper_0,kond,11.0,0.12252066262652161,0.028777096420526505,5.710668563842773,3.0385162830352783,0.035231925547122955,-0.4808483123779297,0.4808483123779297,-0.06916807550926056
laenge,greek_upper_0,kraft,11.0,0.1693362913589954,0.025872929021716118,9.760795593261719,2.7796876430511475,0.03527817502617836,-0.11265494606711646,0.11265494606711646,-0.011378677204449824
laenge,greek_upper_0,kond+kraft,11.0,0.16813595250440289,0.025866521522402763,9.76180362701416,2.7692344188690186,0.03533295542001724,-0.1125633066350763,0.1125633066350763,-0.011078612612224273
laenge,greek_upper_0,kond,14.0,0.12252103156893851,0.028773434460163116,5.707508563995361,3.040238380432129,0.035234685987234116,-0.5923208168574742,0.5923208168574742,-0.05531236409857355
laenge,greek_upper_0,kraft,14.0,0.18051104461834286,0.026602493599057198,10.728599548339844,2.9237701892852783,0.03653392195701599,-0.23367146083286827,0.23367146083286827,-0.011411127766111034
laenge,greek_upper_0,kond+kraft,14.0,0.17942235394135791,0.02658826857805252,10.718664169311523,2.9238033294677734,0.03655179962515831,-0.23438113076346256,0.23438113076346256,-0.011215882992025077
laenge,greek_upper_0,kond,18.0,0.1225727184967041,0.02876932919025421,5.705175876617432,3.0417490005493164,0.03523290157318115,-0.683045784632365,0.683045784632365,-0.04534698336999884
laenge,greek_upper_0,kraft,18.0,0.1843263096776491,0.026706179603934288,11.036870002746582,2.989168643951416,0.03677256405353546,-0.3868405554029677,0.3868405554029677,-0.011467126290085488
laenge,greek_upper_0,kond+kraft,18.0,0.18334895484027428,0.026685792952775955,11.019847869873047,2.99822998046875,0.03674909099936485,-0.38778622945149743,0.38778622945149743,-0.011319452487258084
laenge,korean_5,frei,nan,0.27876972333938216,0.042197927832603455,6.76444673538208,11.820381164550781,0.04910165071487427,nan,nan,nan
laenge,korean_5,kond,4.0,0.28073100559418895,0.04127855226397514,6.630209922790527,11.546086311340332,0.048341818153858185,0.6575524806976318,0.6575524806976318,0.014610614010736836
laenge,korean_5,kraft,4.0,0.26498947977389525,0.05472153425216675,4.015161514282227,11.844401359558105,0.05850854516029358,0.0037903785705566406,0.0037903785705566406,-0.005012300455306746
laenge,korean_5,kond+kraft,4.0,0.2723586884867239,0.05352788791060448,4.009281635284424,11.848873138427734,0.05734753981232643,0.002320408821105957,0.002320408821105957,-0.002326914946923152
laenge,korean_5,kond,6.0,0.2808647864723447,0.041297558695077896,6.619596004486084,11.40194320678711,0.04831790179014206,0.10326600074768066,0.10326600074768066,0.01446360070124057
laenge,korean_5,kraft,6.0,0.2727741030692173,0.04428952932357788,6.009916305541992,11.319526672363281,0.049873292446136475,0.0016527175903320312,0.0016527175903320312,-0.00794616099371308
laenge,korean_5,kond+kraft,6.0,0.2711874978735534,0.04232672229409218,6.004922866821289,11.353475570678711,0.04841279238462448,0.0008204778035481031,0.0008204778035481031,-0.00998286660851909
laenge,korean_5,kond,8.0,0.2809812003023111,0.04133965075016022,6.608180522918701,11.366110801696777,0.04834951460361481,-0.17397743463516235,0.17397743463516235,0.014151984156186098
laenge,korean_5,kraft,8.0,0.2835879692265117,0.037025853991508484,7.893286228179932,11.797039031982422,0.045939851552248,-0.013339221477508545,0.013339221477508545,-0.004268317965371158
laenge,korean_5,kond+kraft,8.0,0.28709400188950623,0.03584922105073929,7.879221439361572,11.369756698608398,0.04411779344081879,-0.015097320079803467,0.015097320079803467,-0.007467229495258813
laenge,korean_5,kond,11.0,0.2810924616911538,0.04133740812540054,6.598874092102051,11.379241943359375,0.048375990241765976,-0.40010235526344995,0.40010235526344995,0.014028515253230952
laenge,korean_5,kraft,11.0,0.3051881249082738,0.033511966466903687,10.024030685424805,12.119264602661133,0.04415708780288696,-0.08872448314319958,0.08872448314319958,-0.00810483852350094
laenge,korean_5,kond+kraft,11.0,0.30482572884757975,0.03438343107700348,9.957793235778809,11.488834381103516,0.043562665581703186,-0.0947460694746538,0.0947460694746538,-0.008159467037153811
