shape,austritt_frei,austritt_constr,E_erg_frei,E_erg_constr,coverage_frei,coverage_constr,laenge_frei,laenge_constr
A,0.14370392262935638,0.0,1.7781344652175903,1.9863449335098267,0.03515952080488205,0.046562179923057556,4.49434757232666,3.065239906311035
greek_upper_0,0.14370392262935638,0.0,1.7781344652175903,1.9863449335098267,0.03515952080488205,0.046562179923057556,4.49434757232666,3.065239906311035
korean_5,0.12780852615833282,0.0,4.548631191253662,6.153716564178467,0.04358763247728348,0.06221901625394821,6.051522731781006,5.112586498260498
digit_5,0.11347661912441254,0.0,4.378968715667725,6.864853382110596,0.03747034817934036,0.061948224902153015,4.9241228103637695,3.6363301277160645
a_lc,0.0948902890086174,0.0,3.0569911003112793,4.872848987579346,0.030457841232419014,0.04898322373628616,3.8267643451690674,2.8610610961914062
rand_gmm_10,0.19617854058742523,0.0,3.9329817295074463,2.243159294128418,0.053513865917921066,0.05198089778423309,10.527044296264648,7.907923698425293
rand_gmm_20,0.19506517052650452,0.0,2.337354898452759,2.8470449447631836,0.056243713945150375,0.052003078162670135,9.813211441040039,7.266302585601807
rand_ana_poly_10,0.1248641312122345,0.0,2.0186522006988525,2.43572735786438,0.02995975688099861,0.048084426671266556,3.597459077835083,2.5438625812530518
rand_ana_poly_20,0.11387470364570618,0.0,1.2675954103469849,3.1036291122436523,0.03122500330209732,0.04849512130022049,3.4822335243225098,2.7526004314422607
rand_ana_poly_30,0.1316809207201004,0.0,4.534753799438477,4.584558963775635,0.036582477390766144,0.05278706178069115,4.61954402923584,3.5737767219543457
rand_gmm_complex_0,0.22395288944244385,0.0,1.8467382192611694,1.6003830432891846,0.06248219311237335,0.05558285862207413,10.522509574890137,8.38886547088623
rand_gmm_complex_10,0.23143810033798218,0.0,2.034879446029663,3.7929062843322754,0.05254992097616196,0.06819798797369003,10.02839469909668,6.575998306274414
rand_gmm_complex_20,0.15573933720588684,0.0,3.8114492893218994,3.225700616836548,0.05652495473623276,0.06182318925857544,9.376543045043945,7.102194309234619
rand_gmm_complex_30,0.17444416880607605,0.0,1.6305100917816162,2.3647074699401855,0.051098570227622986,0.059610553085803986,9.565381050109863,7.202125549316406
rand_ana_poly_complex_0,0.08761061728000641,0.0,1.202082872390747,3.5793402194976807,0.034214477986097336,0.05095883086323738,4.594614028930664,3.6805331707000732
rand_ana_poly_complex_10,0.11366188526153564,0.0,1.1939423084259033,2.266723871231079,0.04214731976389885,0.054995108395814896,5.919709205627441,4.471734046936035
rand_ana_poly_complex_20,0.11339271068572998,0.0,1.3162312507629395,2.385528087615967,0.029768915846943855,0.04137555882334709,4.014719009399414,2.737926483154297
rand_ana_poly_complex_30,0.1168239414691925,0.0,3.2298314571380615,2.5580427646636963,0.031792815774679184,0.040179088711738586,5.19134521484375,3.8421738147735596
organic_0,0.16491487622261047,0.0,1.339992880821228,2.6136512756347656,0.04237578064203262,0.05999663099646568,6.7664361000061035,5.251187324523926
organic_10,0.13759315013885498,0.0,4.153406620025635,5.041060447692871,0.042235467582941055,0.057666778564453125,5.851215362548828,4.225371360778809
organic_20,0.09986668825149536,0.0,1.5809216499328613,4.1489152908325195,0.035858239978551865,0.057137832045555115,4.697603225708008,3.8169243335723877
organic_30,0.0646136999130249,0.0,1.1446253061294556,2.8713974952697754,0.02583206072449684,0.038209639489650726,3.355243682861328,1.871254324913025
cjk_0,0.17237746715545654,0.0,4.9770612716674805,5.539626598358154,0.04989158362150192,0.056161411106586456,6.901492118835449,5.4503631591796875
cjk_10,0.16590434312820435,0.0,3.272678852081299,7.741466999053955,0.03759004920721054,0.06894072890281677,6.401712894439697,4.860261917114258
cjk_20,0.1798088550567627,0.0,1.1706960201263428,1.873953938484192,0.042721718549728394,0.04966185241937637,6.71861457824707,4.937077522277832
