shape,ziel,u,laenge_frei,laenge_kraft,laenge_kond,relf_kraft,relf_kond,E_erg_frei,E_erg_kraft,E_erg_kond,cov_frei,cov_kraft,cov_kond
A,4.0,-2.176,4.546,4.0,4.604,0.0,0.1511,1.7781,1.795,2.1312,0.03516,0.03578,0.03581
A,6.0,-1.343,4.546,5.976,4.512,-0.004,-0.2481,1.7781,1.6102,1.7727,0.03516,0.03536,0.0346
A,8.0,-0.721,4.546,7.727,4.537,-0.0341,-0.4329,1.7781,1.4236,2.056,0.03516,0.03348,0.03478
A,11.0,-0.009,4.546,9.436,4.572,-0.1422,-0.5844,1.7781,1.5061,1.7092,0.03516,0.03325,0.03533
A,14.0,0.543,4.546,10.117,4.554,-0.2773,-0.6747,1.7781,1.6105,1.9551,0.03516,0.0333,0.03512
A,18.0,1.128,4.546,10.153,4.523,-0.4359,-0.7487,1.7781,1.6176,1.6771,0.03516,0.03374,0.03523
greek_upper_0,4.0,-2.176,4.546,4.0,4.604,0.0,0.1511,1.7781,1.795,2.1312,0.03516,0.03578,0.03581
greek_upper_0,6.0,-1.343,4.546,5.976,4.512,-0.004,-0.2481,1.7781,1.6102,1.7727,0.03516,0.03536,0.0346
greek_upper_0,8.0,-0.721,4.546,7.727,4.537,-0.0341,-0.4329,1.7781,1.4236,2.056,0.03516,0.03348,0.03478
greek_upper_0,11.0,-0.009,4.546,9.436,4.572,-0.1422,-0.5844,1.7781,1.5061,1.7092,0.03516,0.03325,0.03533
greek_upper_0,14.0,0.543,4.546,10.117,4.554,-0.2773,-0.6747,1.7781,1.6105,1.9551,0.03516,0.0333,0.03512
greek_upper_0,18.0,1.128,4.546,10.153,4.523,-0.4359,-0.7487,1.7781,1.6176,1.6771,0.03516,0.03374,0.03523
korean_5,4.0,-2.176,6.142,4.003,6.276,0.0007,0.5689,4.5486,5.1854,5.4214,0.04359,0.04848,0.04442
korean_5,6.0,-1.343,6.142,5.996,6.174,-0.0007,0.029,4.5486,4.3901,4.5764,0.04359,0.04289,0.04312
korean_5,8.0,-0.721,6.142,7.822,6.216,-0.0223,-0.223,4.5486,4.1298,4.9695,0.04359,0.04454,0.0441
korean_5,11.0,-0.009,6.142,9.774,6.149,-0.1115,-0.441,4.5486,4.045,4.3948,0.04359,0.04566,0.04341
korean_5,14.0,0.543,6.142,10.72,6.191,-0.2343,-0.5578,4.5486,4.0212,4.7362,0.04359,0.04496,0.04326
korean_5,18.0,1.128,6.142,11.047,6.069,-0.3863,-0.6628,4.5486,4.0396,4.4915,0.04359,0.0448,0.04281
digit_5,4.0,-2.176,4.979,4.0,5.15,0.0001,0.2875,4.379,5.1657,4.7697,0.03747,0.03887,0.03747
digit_5,6.0,-1.343,4.979,5.98,4.985,-0.0033,-0.1692,4.379,4.8881,4.4448,0.03747,0.03688,0.03724
digit_5,8.0,-0.721,4.979,7.764,5.089,-0.0295,-0.3638,4.379,4.0397,5.1023,0.03747,0.03537,0.03822
digit_5,11.0,-0.009,4.979,9.685,4.956,-0.1196,-0.5494,4.379,3.7206,4.1652,0.03747,0.03354,0.03705
digit_5,14.0,0.543,4.979,10.565,4.884,-0.2453,-0.6511,4.379,3.6671,4.8521,0.03747,0.03304,0.0375
digit_5,18.0,1.128,4.979,10.764,4.81,-0.402,-0.7328,4.379,3.6588,4.0784,0.03747,0.03302,0.03676
a_lc,4.0,-2.176,3.907,4.0,4.014,-0.0,0.0036,3.057,3.0395,3.5688,0.03046,0.02898,0.03033
a_lc,6.0,-1.343,3.907,5.975,3.899,-0.0041,-0.3501,3.057,3.1802,3.1701,0.03046,0.02829,0.03025
a_lc,8.0,-0.721,3.907,7.751,3.935,-0.0311,-0.5081,3.057,3.3607,3.656,0.03046,0.02921,0.03025
a_lc,11.0,-0.009,3.907,9.477,3.932,-0.1384,-0.6425,3.057,3.7389,2.9065,0.03046,0.03031,0.03058
a_lc,14.0,0.543,3.907,10.127,3.903,-0.2766,-0.7212,3.057,3.9222,3.4307,0.03046,0.0311,0.03045
a_lc,18.0,1.128,3.907,10.157,3.865,-0.4357,-0.7853,3.057,3.6219,2.8865,0.03046,0.03093,0.0309
rand_gmm_10,4.0,-2.176,10.688,4.064,9.497,0.0161,1.3742,3.933,3.4038,5.1677,0.05351,0.05962,0.05306
rand_gmm_10,6.0,-1.343,10.688,6.134,10.577,0.0224,0.7628,3.933,3.2313,3.2916,0.05351,0.05557,0.05501
rand_gmm_10,8.0,-0.721,10.688,8.183,10.747,0.0229,0.3434,3.933,3.6759,3.8058,0.05351,0.05435,0.05536
rand_gmm_10,11.0,-0.009,10.688,10.875,10.698,-0.0113,-0.0274,3.933,3.9597,4.0161,0.05351,0.054,0.05406
rand_gmm_10,14.0,0.543,10.688,12.686,10.194,-0.0938,-0.2718,3.933,4.1333,3.1706,0.05351,0.05442,0.05613
rand_gmm_10,18.0,1.128,10.688,13.934,10.357,-0.2259,-0.4246,3.933,4.2861,3.2447,0.05351,0.0546,0.05327
