shape,ziel_laenge,laenge_frei_c,laenge_constr_c,rel_fehler_frei,rel_fehler_constr,abs_rel_fehler_constr,E_erg_frei,E_erg_constr,coverage_frei,coverage_constr,laenge_frei,laenge_constr
A,5.910051679611207,4.546193599700928,5.889434337615967,-0.23076923076923084,-0.003488521439899861,0.003488521439899861,1.7781344652175903,1.621648907661438,0.03515952080488205,0.03544948995113373,4.49434757232666,5.797452926635742
greek_upper_0,5.910051679611207,4.546193599700928,5.889434337615967,-0.23076923076923084,-0.003488521439899861,0.003488521439899861,1.7781344652175903,1.621648907661438,0.03515952080488205,0.03544948995113373,4.49434757232666,5.797452926635742
korean_5,7.985040378570557,6.142338752746582,7.809420108795166,-0.23076923076923084,-0.02199366082690113,0.02199366082690113,4.548631191253662,4.131065845489502,0.04358763247728348,0.04454311728477478,6.051522731781006,7.656390190124512
digit_5,6.473002004623413,4.979232311248779,6.42967414855957,-0.23076923076923073,-0.0066936262390919765,0.0066936262390919765,4.378968715667725,4.632604598999023,0.03747034817934036,0.036335453391075134,4.9241228103637695,6.343343734741211
a_lc,5.078712344169617,3.9067018032073975,5.074574947357178,-0.23076923076923073,-0.0008146546864755688,0.0008146546864755688,3.0569911003112793,3.1202750205993652,0.030457841232419014,0.028000464662909508,3.8267643451690674,4.869211196899414
rand_gmm_10,13.894408321380615,10.688006401062012,12.637550354003906,-0.23076923076923073,-0.09045782578900208,0.09045782578900208,3.9329817295074463,4.127461910247803,0.053513865917921066,0.05439109355211258,10.527044296264648,12.433110237121582
rand_gmm_20,12.895820331573487,9.919861793518066,11.682557106018066,-0.23076923076923084,-0.09408189586706073,0.09408189586706073,2.337354898452759,2.4189329147338867,0.056243713945150375,0.05603931099176407,9.813211441040039,11.549139022827148
rand_ana_poly_10,4.7595095396041875,3.661161184310913,4.758460998535156,-0.23076923076923084,-0.00022030443689757817,0.00022030443689757817,2.0186522006988525,2.0209357738494873,0.02995975688099861,0.027606045827269554,3.597459077835083,4.698378562927246
rand_ana_poly_20,4.577231693267822,3.5209474563598633,4.575957298278809,-0.23076923076923073,-0.0002784204677442892,0.0002784204677442892,1.2675954103469849,1.1526063680648804,0.03122500330209732,0.028759129345417023,3.4822335243225098,4.503785133361816
rand_ana_poly_30,6.101809787750244,4.693699836730957,6.051497459411621,-0.23076923076923073,-0.00824547635680617,0.00824547635680617,4.534753799438477,4.223123073577881,0.036582477390766144,0.03125434368848801,4.61954402923584,5.9353461265563965
rand_gmm_complex_0,13.82058334350586,10.631217956542969,12.375517845153809,-0.23076923076923073,-0.10455893665523686,0.10455893665523686,1.8467382192611694,2.2165122032165527,0.06248219311237335,0.06223433464765549,10.522509574890137,12.230978012084961
rand_gmm_complex_10,13.261218452453614,10.200937271118164,12.11082649230957,-0.23076923076923084,-0.08674858681113096,0.08674858681113096,2.034879446029663,2.137637138366699,0.05254992097616196,0.052715614438056946,10.02839469909668,11.904150009155273
