shape,ziel,u,laenge_frei,laenge_kraft,laenge_kond,relf_kraft,relf_kond,E_erg_frei,E_erg_kraft,E_erg_kond,cov_frei,cov_kraft,cov_kond
A,4.0,-2.176,4.546,4.0,4.604,0.0,0.1511,1.7781,1.795,2.1312,0.03516,0.03578,0.03581
A,6.0,-1.343,4.546,5.976,4.512,-0.004,-0.2481,1.7781,1.6102,1.7727,0.03516,0.03536,0.0346
A,8.0,-0.721,4.546,7.727,4.537,-0.0341,-0.4329,1.7781,1.4236,2.056,0.03516,0.03348,0.03478
A,11.0,-0.009,4.546,9.436,4.572,-0.1422,-0.5844,1.7781,1.5061,1.7092,0.03516,0.03325,0.03533
A,14.0,0.543,4.546,10.117,4.554,-0.2773,-0.6747,1.7781,1.6105,1.9551,0.03516,0.0333,0.03512
A,18.0,1.128,4.546,10.153,4.523,-0.4359,-0.7487,1.7781,1.6176,1.6771,0.03516,0.03374,0.03523
digit_5,4.0,-2.176,4.979,4.0,5.15,0.0001,0.2875,4.379,5.1657,4.7697,0.03747,0.03887,0.03747
digit_5,6.0,-1.343,4.979,5.98,4.985,-0.0033,-0.1692,4.379,4.8881,4.4448,0.03747,0.03688,0.03724
digit_5,8.0,-0.721,4.979,7.764,5.089,-0.0295,-0.3638,4.379,4.0397,5.1023,0.03747,0.03537,0.03822
digit_5,11.0,-0.009,4.979,9.685,4.956,-0.1196,-0.5494,4.379,3.7206,4.1652,0.03747,0.03354,0.03705
digit_5,14.0,0.543,4.979,10.565,4.884,-0.2453,-0.6511,4.379,3.6671,4.8521,0.03747,0.03304,0.0375
digit_5,18.0,1.128,4.979,10.764,4.81,-0.402,-0.7328,4.379,3.6588,4.0784,0.03747,0.03302,0.03676
organic_0,4.0,-2.176,6.86,4.007,7.665,0.0017,0.9163,1.34,1.2978,1.7414,0.04238,0.04995,0.03944
organic_0,6.0,-1.343,6.86,5.995,6.864,-0.0009,0.144,1.34,1.2106,1.432,0.04238,0.04219,0.04242
organic_0,8.0,-0.721,6.86,7.802,6.831,-0.0248,-0.1461,1.34,1.3712,1.6385,0.04238,0.04102,0.04202
organic_0,11.0,-0.009,6.86,9.755,6.994,-0.1132,-0.3642,1.34,1.5065,1.1503,0.04238,0.0405,0.04158
organic_0,14.0,0.543,6.86,10.727,6.863,-0.2338,-0.5098,1.34,1.5664,1.5241,0.04238,0.04109,0.0427
organic_0,18.0,1.128,6.86,11.11,7.075,-0.3828,-0.6069,1.34,1.5927,1.1653,0.04238,0.04166,0.04021
