shape,ziel,u,laenge_frei,laenge_kraft,laenge_kond,relf_kraft,relf_kond,E_erg_frei,E_erg_kraft,E_erg_kond,cov_frei,cov_kraft,cov_kond
A,4.0,-2.176,4.546,4.0,4.718,0.0,0.1795,1.7781,1.795,2.7975,0.03516,0.03578,0.03721
A,6.0,-1.343,4.546,5.976,4.485,-0.004,-0.2525,1.7781,1.6102,1.9094,0.03516,0.03536,0.03548
A,8.0,-0.721,4.546,7.727,4.523,-0.0341,-0.4346,1.7781,1.4236,2.485,0.03516,0.03348,0.03605
A,11.0,-0.009,4.546,9.436,4.613,-0.1422,-0.5806,1.7781,1.5061,1.8392,0.03516,0.03325,0.03671
A,14.0,0.543,4.546,10.117,4.581,-0.2773,-0.6728,1.7781,1.6105,2.3018,0.03516,0.0333,0.03636
A,18.0,1.128,4.546,10.153,4.526,-0.4359,-0.7486,1.7781,1.6176,1.7912,0.03516,0.03374,0.03612
digit_5,4.0,-2.176,4.979,4.0,5.135,0.0001,0.2837,4.379,5.1657,6.9814,0.03747,0.03887,0.041
digit_5,6.0,-1.343,4.979,5.98,5.044,-0.0033,-0.1593,4.379,4.8881,4.9733,0.03747,0.03688,0.03807
digit_5,8.0,-0.721,4.979,7.764,5.126,-0.0295,-0.3592,4.379,4.0397,6.9014,0.03747,0.03537,0.0405
digit_5,11.0,-0.009,4.979,9.685,5.158,-0.1196,-0.5311,4.379,3.7206,4.4471,0.03747,0.03354,0.03716
digit_5,14.0,0.543,4.979,10.565,4.955,-0.2453,-0.646,4.379,3.6671,6.031,0.03747,0.03304,0.03938
digit_5,18.0,1.128,4.979,10.764,4.846,-0.402,-0.7308,4.379,3.6588,4.0752,0.03747,0.03302,0.03633
organic_0,4.0,-2.176,6.86,4.007,7.443,0.0017,0.8607,1.34,1.2978,2.4647,0.04238,0.04995,0.04606
organic_0,6.0,-1.343,6.86,5.995,6.865,-0.0009,0.1441,1.34,1.2106,1.6145,0.04238,0.04219,0.04344
organic_0,8.0,-0.721,6.86,7.802,7.153,-0.0248,-0.1059,1.34,1.3712,1.8715,0.04238,0.04102,0.04309
organic_0,11.0,-0.009,6.86,9.755,7.373,-0.1132,-0.3298,1.34,1.5065,1.2772,0.04238,0.0405,0.04316
organic_0,14.0,0.543,6.86,10.727,7.406,-0.2338,-0.471,1.34,1.5664,1.6176,0.04238,0.04109,0.04387
organic_0,18.0,1.128,6.86,11.11,7.135,-0.3828,-0.6036,1.34,1.5927,1.2426,0.04238,0.04166,0.04079
