shape,mission,coverage,ergodic,info_gain,belief_rmse,path_len,wallclock
A,glaube-D,0.02261440083384514,0.10559004545211792,2801.577392578125,0.061395347118377686,36.526145935058594,14.14707035664469
greek_upper_0,glaube-D,0.022406022995710373,0.11600971221923828,2819.628173828125,0.05587707832455635,36.71276092529297,13.578692177310586
korean_5,glaube-D,0.02290046401321888,0.14558145403862,2738.981689453125,0.07889417558908463,38.41522216796875,13.846360323019326
digit_5,glaube-D,0.022721223533153534,0.11051534116268158,2776.629638671875,0.06922131776809692,36.00526809692383,14.262900425121188
a_lc,glaube-D,0.021006761118769646,0.08982577919960022,2770.944580078125,0.07132121175527573,36.26400375366211,14.552473193965852
rand_gmm_10,glaube-D,0.032021209597587585,0.14522382616996765,2723.9345703125,0.02111171931028366,37.28655242919922,14.561893825419247
rand_gmm_20,glaube-D,0.02189020812511444,0.033586613833904266,2666.418212890625,0.02014741860330105,36.83310317993164,14.73414723481983
rand_ana_poly_10,glaube-D,0.02927330508828163,0.351348876953125,2759.475341796875,0.08903400599956512,36.76658630371094,14.808895059861243
rand_ana_poly_20,glaube-D,0.020991668105125427,0.1454218029975891,2776.87451171875,0.07533681392669678,37.16766357421875,14.806470988318324
rand_ana_poly_30,glaube-D,0.018140098080039024,0.023332808166742325,2737.2353515625,0.07197321951389313,33.10699462890625,14.827082188799977
rand_gmm_complex_0,glaube-D,0.026136452332139015,0.0462401881814003,2779.77587890625,0.042496390640735626,36.509525299072266,14.862738218158484
rand_gmm_complex_10,glaube-D,0.02240918204188347,0.036233771592378616,2703.2900390625,0.027989471331238747,36.729339599609375,14.888780149631202
