shape,mission,coverage,ergodic,info_gain,belief_rmse,path_len,wallclock
A,orakel,0.036939527839422226,0.009319337084889412,1247.187744140625,0.24076339602470398,2.9301557540893555,2.159095018869266
A,glaube-1,0.09514924138784409,0.09142106026411057,1291.683349609375,0.22856666147708893,3.9889352321624756,0.40121564106084406
A,glaube-R,0.02641100436449051,0.02342415601015091,2756.2041015625,0.12013284862041473,15.239533424377441,1.200564705999568
A,zweistufig,0.028665287420153618,0.03663911670446396,1983.205810546875,0.19775798916816711,8.64111042022705,0.8056447319686413
A,B-warm,0.03694906085729599,0.029155628755688667,1899.6351318359375,0.15389929711818695,6.624770164489746,1.3742633280344307
A,maeher,0.018921716138720512,0.0485231876373291,2384.4150390625,0.12542696297168732,14.960000038146973,0.0
greek_upper_0,orakel,0.036366548389196396,0.003343917429447174,1250.33056640625,0.2239229381084442,3.1731059551239014,0.4018081871327013
greek_upper_0,glaube-1,0.08753138035535812,0.0336625799536705,1234.282470703125,0.2235437035560608,3.6258578300476074,0.3919711019843817
greek_upper_0,glaube-R,0.028194785118103027,0.01765809953212738,2843.341064453125,0.10519599169492722,16.022119522094727,1.1846533860079944
greek_upper_0,zweistufig,0.04016401991248131,0.023333396762609482,2167.355224609375,0.21044985949993134,8.647636413574219,0.8022352878469974
greek_upper_0,B-warm,0.04532657563686371,0.04107709974050522,2083.200927734375,0.14836318790912628,6.472945213317871,0.7540529379621148
greek_upper_0,maeher,0.018879929557442665,0.048614948987960815,2364.52685546875,0.16935411095619202,15.84000015258789,0.0
korean_5,orakel,0.04722626134753227,0.003950600046664476,1680.103515625,0.2296801507472992,3.0955491065979004,0.4001826790627092
korean_5,glaube-1,0.08845485001802444,0.06567423790693283,1392.04296875,0.2803610563278198,3.697911262512207,0.4006576919928193
korean_5,glaube-R,0.02661014348268509,0.01692373864352703,2773.094482421875,0.1206178143620491,16.548412322998047,1.2053221750538796
korean_5,zweistufig,0.040299247950315475,0.0388374961912632,2282.030029296875,0.17311735451221466,8.728771209716797,0.8051480271387845
korean_5,B-warm,0.04392455890774727,0.03250088170170784,2069.25,0.1477724313735962,6.491948127746582,0.755116346757859
korean_5,maeher,0.01873885840177536,0.048183802515268326,2287.390625,0.16132597625255585,16.719999313354492,0.0
digit_5,orakel,0.03642959147691727,0.0018228741828352213,1557.01220703125,0.2872057855129242,2.9176185131073,0.40142325800843537
digit_5,glaube-1,0.12154656648635864,0.08900421112775803,1549.571533203125,0.2522231638431549,4.547562122344971,0.40240954398177564
digit_5,glaube-R,0.02886113151907921,0.026085080578923225,2906.94482421875,0.16714946925640106,18.34416389465332,1.206881077028811
digit_5,zweistufig,0.0397784560918808,0.034672513604164124,2597.84033203125,0.153765469789505,9.856325149536133,0.8009702861309052
digit_5,B-warm,0.04443913325667381,0.060349009931087494,2242.864990234375,0.16660858690738678,6.255605220794678,0.7553753098472953
digit_5,maeher,0.018361859023571014,0.05289788544178009,2416.3388671875,0.11937466263771057,18.479999542236328,0.0
a_lc,orakel,0.036881912499666214,0.00186235923320055,1228.96923828125,0.24143391847610474,2.4275248050689697,0.4028205859940499
a_lc,glaube-1,0.0923459455370903,0.07408776879310608,1555.891357421875,0.3110843300819397,4.235392093658447,0.4022049531340599
a_lc,glaube-R,0.039342015981674194,0.02806914784014225,2808.877685546875,0.15601442754268646,15.71088981628418,1.2008806080557406
a_lc,zweistufig,0.031017526984214783,0.037083931267261505,2273.337158203125,0.18651121854782104,8.31320571899414,0.7986461960244924
a_lc,B-warm,0.04133350029587746,0.02798202447593212,2129.43896484375,0.18062451481819153,6.144639015197754,0.7622617608867586
a_lc,maeher,0.018766559660434723,0.04722916707396507,2396.83251953125,0.1776779443025589,15.84000015258789,0.0
rand_gmm_10,orakel,0.0654342994093895,0.00583697110414505,1801.5565185546875,0.06605575233697891,4.5228400230407715,0.4017495019361377
rand_gmm_10,glaube-1,0.0802091732621193,0.04815242066979408,1355.44921875,0.09725487232208252,4.309765338897705,0.40003739297389984
rand_gmm_10,glaube-R,0.028408778831362724,0.007457434665411711,2802.710693359375,0.03521229699254036,16.8447208404541,1.2006336611229926
rand_gmm_10,zweistufig,0.047980040311813354,0.04041434824466705,2031.45361328125,0.07191181927919388,10.151823043823242,0.8021695169154555
rand_gmm_10,B-warm,0.04525136947631836,0.017189517617225647,2115.044677734375,0.031231237575411797,7.011804580688477,0.7538925469852984
rand_gmm_10,maeher,0.01955019123852253,0.015785392373800278,2305.136474609375,0.04940618574619293,16.719999313354492,0.0
rand_gmm_20,orakel,0.058753952383995056,0.007798937149345875,1867.531982421875,0.05380686745047569,4.54018497467041,0.4057862460613251
rand_gmm_20,glaube-1,0.06483982503414154,0.009208114817738533,1492.296875,0.058798763900995255,4.748661041259766,0.40374583401717246
rand_gmm_20,glaube-R,0.02730783447623253,0.007578650489449501,2918.4423828125,0.02609679102897644,15.833894729614258,1.2141446000896394
rand_gmm_20,zweistufig,0.04359870404005051,0.00926674623042345,2234.23486328125,0.04069630801677704,8.852373123168945,0.8051654370501637
rand_gmm_20,B-warm,0.047065526247024536,0.035622965544462204,2069.5302734375,0.04193681478500366,6.4070281982421875,0.7578773810528219
rand_gmm_20,maeher,0.019916139543056488,0.03980856016278267,2321.576171875,0.03607334569096565,15.84000015258789,0.0
rand_ana_poly_10,orakel,0.03157862648367882,0.006705732550472021,1160.9521484375,0.33388322591781616,2.288170337677002,0.4088174740318209
rand_ana_poly_10,glaube-1,0.04755396395921707,0.06925402581691742,1666.46826171875,0.2746255397796631,4.192812919616699,0.4128528570290655
rand_ana_poly_10,glaube-R,0.020917905494570732,0.05431929975748062,2787.589599609375,0.1991330087184906,14.862749099731445,1.2095274180173874
rand_ana_poly_10,zweistufig,0.03402404859662056,0.04198657348752022,2365.943359375,0.23397430777549744,9.275138854980469,0.8066760478541255
