shape,n_prior,modell,treffer,korr,sigma_anteil,traeger
A,12,ei,0.2815582752227783,-0.1184123307466507,0.9663928151130676,0.2978515625
A,12,eid,0.6122516393661499,0.43432682752609253,0.9663928151130676,0.2978515625
A,12,lse,0.3548663258552551,0.5396960973739624,0.9663928151130676,0.2978515625
A,12,mass,0.4926411807537079,0.5919557213783264,0.9663928151130676,0.2978515625
A,12,mi,0.27331557869911194,-0.22445954382419586,0.9663928151130676,0.2978515625
A,12,stretch,0.26717060804367065,-0.3133324682712555,0.9663928151130676,0.2978515625
A,12,ucb,0.2696436047554016,-0.3133324384689331,0.9663928151130676,0.2978515625
A,30,ei,0.3156941533088684,0.08425552397966385,0.9507864117622375,0.2978515625
A,30,eid,0.4670465886592865,0.3768824338912964,0.9507864117622375,0.2978515625
A,30,lse,0.3966326415538788,0.6089468598365784,0.9507864117622375,0.2978515625
A,30,mass,0.5002502202987671,0.6953267455101013,0.9507864117622375,0.2978515625
A,30,mi,0.30117398500442505,0.02546756900846958,0.9507864117622375,0.2978515625
A,30,stretch,0.2795608639717102,-0.1094137653708458,0.9507864117622375,0.2978515625
A,30,ucb,0.28053340315818787,-0.10941378027200699,0.9507864117622375,0.2978515625
A,60,ei,0.374785453081131,0.16599197685718536,0.9123572707176208,0.2978515625
A,60,eid,0.5015360116958618,0.5828443765640259,0.9123572707176208,0.2978515625
A,60,lse,0.4993833899497986,0.7767980694770813,0.9123572707176208,0.2978515625
A,60,mass,0.5423280000686646,0.8075520396232605,0.9123572707176208,0.2978515625
A,60,mi,0.37330251932144165,0.27072471380233765,0.9123572707176208,0.2978515625
A,60,stretch,0.2992992103099823,0.013177215121686459,0.9123572707176208,0.2978515625
A,60,ucb,0.2991883158683777,0.013177208602428436,0.9123572707176208,0.2978515625
greek_upper_0,12,ei,0.30372291803359985,0.054355449974536896,0.9740864634513855,0.2978515625
greek_upper_0,12,eid,0.5725576877593994,0.3968534469604492,0.9740864634513855,0.2978515625
greek_upper_0,12,lse,0.34600815176963806,0.526526153087616,0.9740864634513855,0.2978515625
greek_upper_0,12,mass,0.5212610960006714,0.6191306114196777,0.9740864634513855,0.2978515625
greek_upper_0,12,mi,0.2891020178794861,-0.06801103055477142,0.9740864634513855,0.2978515625
greek_upper_0,12,stretch,0.28032708168029785,-0.1717776656150818,0.9740864634513855,0.2978515625
greek_upper_0,12,ucb,0.2815912067890167,-0.1717776656150818,0.9740864634513855,0.2978515625
greek_upper_0,30,ei,0.3419659435749054,0.17792174220085144,0.9586175084114075,0.2978515625
greek_upper_0,30,eid,0.4566742181777954,0.3756730258464813,0.9586175084114075,0.2978515625
greek_upper_0,30,lse,0.3868839740753174,0.6246328353881836,0.9586175084114075,0.2978515625
greek_upper_0,30,mass,0.5298570394515991,0.7335646748542786,0.9586175084114075,0.2978515625
greek_upper_0,30,mi,0.32033178210258484,0.1194491907954216,0.9586175084114075,0.2978515625
greek_upper_0,30,stretch,0.29411113262176514,-0.02372370846569538,0.9586175084114075,0.2978515625
greek_upper_0,30,ucb,0.29434823989868164,-0.023723706603050232,0.9586175084114075,0.2978515625
greek_upper_0,60,ei,0.34345054626464844,0.10974389314651489,0.9207421541213989,0.2978515625
greek_upper_0,60,eid,0.4720326066017151,0.5620120167732239,0.9207421541213989,0.2978515625
greek_upper_0,60,lse,0.4797001779079437,0.7779526710510254,0.9207421541213989,0.2978515625
greek_upper_0,60,mass,0.5364576578140259,0.8286505937576294,0.9207421541213989,0.2978515625
greek_upper_0,60,mi,0.34787121415138245,0.18392255902290344,0.9207421541213989,0.2978515625
greek_upper_0,60,stretch,0.2831197679042816,-0.06357969343662262,0.9207421541213989,0.2978515625
greek_upper_0,60,ucb,0.2840767800807953,-0.06357971578836441,0.9207421541213989,0.2978515625
korean_5,12,ei,0.3937520682811737,0.17852865159511566,0.9777025580406189,0.364501953125
korean_5,12,eid,0.5156473517417908,0.20064498484134674,0.9777025580406189,0.364501953125
korean_5,12,lse,0.4042745530605316,0.37024587392807007,0.9777025580406189,0.364501953125
korean_5,12,mass,0.5472897291183472,0.3840443789958954,0.9777025580406189,0.364501953125
korean_5,12,mi,0.37982672452926636,0.11611893028020859,0.9777025580406189,0.364501953125
korean_5,12,stretch,0.3698958158493042,0.0507320798933506,0.9777025580406189,0.364501953125
korean_5,12,ucb,0.3696097731590271,0.0507320836186409,0.9777025580406189,0.364501953125
korean_5,30,ei,0.39829757809638977,0.11882629245519638,0.9535571932792664,0.364501953125
korean_5,30,eid,0.48704224824905396,0.25958895683288574,0.9535571932792664,0.364501953125
korean_5,30,lse,0.4565260708332062,0.5307506918907166,0.9535571932792664,0.364501953125
korean_5,30,mass,0.5485618114471436,0.5441820025444031,0.9535571932792664,0.364501953125
korean_5,30,mi,0.3937034010887146,0.14380286633968353,0.9535571932792664,0.364501953125
korean_5,30,stretch,0.3691498935222626,0.025907564908266068,0.9535571932792664,0.364501953125
korean_5,30,ucb,0.36889249086380005,0.025907553732395172,0.9535571932792664,0.364501953125
korean_5,60,ei,0.4467368423938751,0.162605419754982,0.9060849547386169,0.364501953125
korean_5,60,eid,0.48583051562309265,0.38991162180900574,0.9060849547386169,0.364501953125
korean_5,60,lse,0.5407429933547974,0.6931665539741516,0.9060849547386169,0.364501953125
korean_5,60,mass,0.5534316301345825,0.6975657343864441,0.9060849547386169,0.364501953125
korean_5,60,mi,0.44774168729782104,0.2981797456741333,0.9060849547386169,0.364501953125
korean_5,60,stretch,0.3786352276802063,0.05506686121225357,0.9060849547386169,0.364501953125
korean_5,60,ucb,0.37746596336364746,0.05506684258580208,0.9060849547386169,0.364501953125
