shape,mission,coverage,ergodic,info_gain,belief_rmse,path_len,wallclock
A,orakel,0.036939527839422226,0.009319337084889412,938.65478515625,0.19569319486618042,2.9301557540893555,2.1213108759839088
A,glaube-1,0.09773257374763489,0.1291312873363495,1567.712158203125,0.1769370436668396,4.443268775939941,0.40007261792197824
A,glaube-R,0.027503184974193573,0.04698410630226135,2171.915771484375,0.13770921528339386,17.446876525878906,1.192803829908371
A,zweistufig,0.03708070516586304,0.032735373824834824,1981.468505859375,0.14901193976402283,9.505855560302734,0.7988313129171729
A,B-warm,0.046907246112823486,0.06354176253080368,1753.7867431640625,0.14404557645320892,5.581650733947754,1.3147134103346616
A,maeher,0.018389683216810226,0.04862668365240097,1492.695068359375,0.14876748621463776,17.600000381469727,0.0
greek_upper_0,orakel,0.036366548389196396,0.003343917429447174,861.2371826171875,0.15897125005722046,3.1731059551239014,0.39995936397463083
greek_upper_0,glaube-1,0.0627419576048851,0.12190485745668411,1515.706787109375,0.12651365995407104,4.561036109924316,0.39943613205105066
greek_upper_0,glaube-R,0.026859138160943985,0.042754851281642914,2192.386962890625,0.09734645485877991,14.253331184387207,1.1994120117742568
greek_upper_0,zweistufig,0.03884338214993477,0.031859684735536575,1899.50146484375,0.12161675840616226,8.464338302612305,0.7943681108299643
greek_upper_0,B-warm,0.048913951963186264,0.07072407007217407,1697.885986328125,0.11746899783611298,5.8376922607421875,0.7915821927599609
greek_upper_0,maeher,0.019434567540884018,0.04865178093314171,1621.251708984375,0.13079045712947845,14.079999923706055,0.0
korean_5,orakel,0.04722626134753227,0.003950600046664476,1117.580810546875,0.1758037507534027,3.0955491065979004,0.40156333101913333
korean_5,glaube-1,0.09207998216152191,0.09556131064891815,1443.4227294921875,0.17895759642124176,4.229998588562012,0.3992075538262725
korean_5,glaube-R,0.0313299261033535,0.045189693570137024,2121.311767578125,0.13518919050693512,15.225174903869629,1.1962167080491781
korean_5,zweistufig,0.03681565076112747,0.03559458255767822,1816.796630859375,0.1579747498035431,8.594504356384277,0.7977872381452471
korean_5,B-warm,0.05215520039200783,0.055714718997478485,1619.06103515625,0.18271753191947937,5.726559638977051,0.7767832970712334
korean_5,maeher,0.019059274345636368,0.048325080424547195,1562.1904296875,0.16438059508800507,14.960000038146973,0.0
digit_5,orakel,0.03642959147691727,0.0018228741828352213,1088.3375244140625,0.22039128839969635,2.9176185131073,0.40127724199555814
digit_5,glaube-1,0.07620527595281601,0.0922653004527092,1560.130615234375,0.14217805862426758,5.040966033935547,0.3987507640849799
digit_5,glaube-R,0.030102955177426338,0.05545449256896973,2284.45556640625,0.16217082738876343,16.412403106689453,1.2045739418826997
digit_5,zweistufig,0.03295950964093208,0.03783167898654938,2049.568359375,0.12057096511125565,9.479393005371094,0.8011071728542447
digit_5,B-warm,0.04340539500117302,0.07815530896186829,1775.3262939453125,0.11713983118534088,6.147254943847656,0.7909695690032095
digit_5,maeher,0.018472863361239433,0.052522845566272736,1640.9356689453125,0.1347494125366211,16.719999313354492,0.0
a_lc,orakel,0.036881912499666214,0.00186235923320055,723.60693359375,0.22036412358283997,2.4275248050689697,0.39714034111239016
a_lc,glaube-1,0.14282716810703278,0.15173333883285522,1537.03515625,0.1543561965227127,3.8214240074157715,0.4001032509841025
a_lc,glaube-R,0.04253746196627617,0.06637582927942276,2178.82080078125,0.0988662987947464,14.079961776733398,1.1980943270027637
a_lc,zweistufig,0.04382575303316116,0.06701958179473877,1953.2657470703125,0.12624993920326233,8.484946250915527,0.8007646461483091
a_lc,B-warm,0.05296039581298828,0.06642511487007141,1675.1834716796875,0.1198025494813919,5.345707893371582,0.7891100889537483
a_lc,maeher,0.019330255687236786,0.04748280718922615,1564.6483154296875,0.12889130413532257,14.079999923706055,0.0
rand_gmm_10,orakel,0.0654342994093895,0.00583697110414505,1464.358642578125,0.03676389157772064,4.5228400230407715,0.40040416386909783
rand_gmm_10,glaube-1,0.08166179060935974,0.033429887145757675,1549.55859375,0.0892249196767807,4.272726058959961,0.40091916592791677
rand_gmm_10,glaube-R,0.03396898880600929,0.011100994423031807,2230.227783203125,0.026621965691447258,16.91210174560547,1.2039549639448524
rand_gmm_10,zweistufig,0.04558856040239334,0.013978874310851097,1932.5888671875,0.032623302191495895,8.475006103515625,0.7997984180692583
rand_gmm_10,B-warm,0.05496975779533386,0.015774404630064964,1751.7982177734375,0.03408246487379074,5.2267656326293945,0.7891838119830936
rand_gmm_10,maeher,0.01955019123852253,0.015785392373800278,1558.5479736328125,0.04597717896103859,16.719999313354492,0.0
rand_gmm_20,orakel,0.058753952383995056,0.007798937149345875,1260.5406494140625,0.037491608411073685,4.54018497467041,0.4022688129916787
rand_gmm_20,glaube-1,0.07148855924606323,0.09906686097383499,1570.6651611328125,0.042227853089571,4.713472366333008,0.39849727996625006
rand_gmm_20,glaube-R,0.02784641459584236,0.024556536227464676,2218.97607421875,0.024526862427592278,16.86725616455078,1.2103449429851025
rand_gmm_20,zweistufig,0.04183655604720116,0.026498129591345787,1989.541259765625,0.03267918899655342,8.790921211242676,0.8014410268515348
