phi_model,param,svgd_iters,seed,shape,n_exec,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,n_obs,plan_s,svgd_s
eid,0.15,0,0,A,1,0.13922853767871857,0.5584308849911258,0.2436591386795044,0.24535460770130157,1076.474609375,1.4123611450195312,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,greek_upper_0,1,0.14456726610660553,0.5798439579890755,0.1789211928844452,0.2045648843050003,1164.25048828125,1.4115056991577148,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,korean_5,1,0.21888954937458038,0.7162249043371078,0.25570055842399597,0.26767393946647644,1159.8251953125,1.412469506263733,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,digit_5,1,0.15133054554462433,0.5546729333866253,0.07581807672977448,0.20753507316112518,993.0166015625,1.4105262756347656,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,a_lc,1,0.1613900512456894,0.7515304587042777,0.21423634886741638,0.25160878896713257,993.37109375,1.4087281227111816,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_10,1,0.1827523112297058,0.5434672307999772,0.1101786345243454,0.22998358309268951,1161.33837890625,1.4103856086730957,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_20,1,0.27730610966682434,0.9086582917708597,0.5571164488792419,0.2859088182449341,957.5322265625,1.4100886583328247,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_10,1,0.09345301985740662,0.295123857861523,0.05508001148700714,0.28725239634513855,1138.135986328125,1.410228967666626,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_20,1,0.1357414573431015,0.5712346159540512,0.17164373397827148,0.288026362657547,1089.1064453125,1.4100244045257568,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_30,1,0.266367644071579,0.9562271489825888,0.27994993329048157,0.3156733512878418,1106.481689453125,1.4111888408660889,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_0,1,0.18480053544044495,0.5962781925171516,0.13050726056098938,0.18479356169700623,1088.24853515625,1.412322759628296,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_10,1,0.29403090476989746,0.8587658785306441,0.39254990220069885,0.23648077249526978,1228.092041015625,1.412980079650879,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_20,1,0.19951142370700836,0.5853183936281755,0.17257440090179443,0.20352712273597717,1187.892578125,1.4120837450027466,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_30,1,0.17799536883831024,0.5397263961733093,0.06407392770051956,0.21497100591659546,1010.621337890625,1.4019718170166016,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_0,1,0.10727155208587646,0.4671666652389893,0.0766342282295227,0.38984614610671997,1078.0546875,1.411422848701477,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_10,1,0.18877993524074554,0.6631021699562667,0.1806512475013733,0.5000486373901367,1101.994140625,1.4113407135009766,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_20,1,0.2031760960817337,0.8920305434164082,0.3598674535751343,0.2753247916698456,1167.01953125,1.411698341369629,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_30,1,0.1494845300912857,0.6689856599111037,0.187361478805542,0.40635794401168823,1067.23486328125,1.4096533060073853,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_0,1,0.20102573931217194,0.6304370521365197,0.16629664599895477,0.41199201345443726,1140.146484375,1.4099397659301758,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_10,1,0.1702396124601364,0.6075014383814407,0.06929081678390503,0.4071063697338104,1032.051025390625,1.4019564390182495,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_20,1,0.17156367003917694,0.6798645944654196,0.3114573657512665,0.29219919443130493,1012.796142578125,1.4116833209991455,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_30,1,0.07415136694908142,0.43902921897890396,0.15541282296180725,0.23429913818836212,1118.767822265625,1.4041202068328857,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_0,1,0.13198143243789673,0.43021710966540583,0.03320397436618805,0.24754461646080017,1201.8544921875,1.4105210304260254,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_10,1,0.22101466357707977,0.7012684828295156,0.3447114825248718,0.2247883379459381,956.138916015625,1.4052519798278809,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_20,1,0.14704158902168274,0.4942862858939831,0.1824960708618164,0.20608626306056976,1206.84130859375,1.41189706325531,64,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,A,2,0.10703624784946442,0.42931102781985375,0.19302871823310852,0.3006223440170288,1527.4619140625,2.8225088119506836,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,greek_upper_0,2,0.0911639854311943,0.36564906816112797,0.04293002933263779,0.16914306581020355,1617.631103515625,2.8162214756011963,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,korean_5,2,0.178492471575737,0.5840422886542445,0.17033487558364868,0.24622637033462524,1710.15576171875,2.812046527862549,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,digit_5,2,0.12786635756492615,0.4686694769833274,0.08815905451774597,0.21453814208507538,1262.79345703125,2.8035402297973633,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,a_lc,2,0.126723513007164,0.5901019246465798,0.09310169517993927,0.31540653109550476,1464.433349609375,2.8169097900390625,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_10,2,0.14565743505954742,0.43315481125566485,0.12419669330120087,0.19809605181217194,1590.095458984375,2.8208115100860596,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_20,2,0.25694480538368225,0.8419397186013916,0.5097330808639526,0.28556784987449646,1153.87646484375,2.822535276412964,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_10,2,0.07941287010908127,0.250785181968527,0.16257986426353455,0.2763199210166931,1448.813720703125,2.8076376914978027,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_20,2,0.07888151705265045,0.3319535091298598,0.0859050303697586,0.2655640244483948,1511.811767578125,2.7960586547851562,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_30,2,0.2629156708717346,0.9438349888808744,0.34544238448143005,0.32057151198387146,1530.53466796875,2.815825939178467,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_0,2,0.14184078574180603,0.45766408168548234,0.25142166018486023,0.1661209613084793,1538.70068359375,2.819985866546631,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_10,2,0.10010401159524918,0.2923703191312869,0.15476354956626892,0.09487629681825638,2244.084228515625,2.8220391273498535,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_20,2,0.157504141330719,0.4620791595816934,0.4187789857387543,0.18013688921928406,1608.790283203125,2.8198413848876953,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_30,2,0.13615067303180695,0.41284283165131225,0.14359362423419952,0.17423848807811737,1396.40625,2.8060460090637207,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_0,2,0.06994354724884033,0.3046035326967969,0.08241859823465347,0.417809396982193,1444.8818359375,2.8196792602539062,128,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_10,2,0.15344834327697754,0.5389975861226811,0.14950667321681976,0.4300161600112915,1488.079345703125,2.8158321380615234,128,3.31896382833831,0.0006930097751319408
