phi_model,param,svgd_iters,seed,n_exec,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s,J
niveau,0.6067,25,0,1,0.5801062385559574,0.16297288715839386,0.5801062385559574,0.1638188974559307,0.2778186458349228,1137.08755859375,1.4089826345443726,0.28595394778531036,0.6012500543470987
niveau,0.6067,25,0,2,0.4006483260555474,0.11454335182905197,0.4006483260555474,0.13325088679790498,0.25521790206432343,1860.597744140625,2.817797317504883,0.5719078955706207,0.44293595763782984
niveau,0.6067,25,0,3,0.26291840924327603,0.07415768921375275,0.26291840924327603,0.09357827827334404,0.22274181097745896,2498.702158203125,4.224618740081787,0.8578618433559312,0.32634985661669974
niveau,0.6067,25,0,4,0.20550635724865188,0.05785602226853371,0.20550635724865188,0.07417018670588732,0.2050353343784809,2890.486044921875,5.630051860809326,1.1438157911412414,0.29008162041321683
niveau,0.6067,25,0,5,0.15271507445235916,0.04271686427295208,0.15271507445235916,0.056098462529480454,0.16636754751205443,3242.370078125,7.034722957611084,1.429769738926552,0.2584341534080654
niveau,0.6067,25,0,6,0.13126049127325654,0.03652681715786457,0.13126049127325654,0.04938305247575045,0.1460848133265972,3470.705419921875,8.437445487976074,1.7157236867118624,0.258123386020104
niveau,0.6067,25,0,7,0.11420532410601389,0.03160929709672928,0.11420532410601389,0.038489890322089194,0.11651116222143174,3614.522578125,9.839374046325684,2.001677634497173,0.2622120346440026
niveau,0.6067,25,0,8,0.10193411859066909,0.02825263001024723,0.10193411859066909,0.04268437556922436,0.1018103052675724,3681.5199609375,11.243644561767578,2.287631582282483,0.271084644919799
niveau,0.6067,25,0,9,0.09270991925973675,0.02568833068013191,0.09270991925973675,0.03833595722913742,0.091478011906147,3744.121416015625,12.646129531860351,2.5735855300677937,0.28300426138000795
niveau,0.6067,25,0,10,0.08425692916577175,0.02338947992771864,0.08425692916577175,0.04426235865801573,0.08358393579721451,3781.6508984375,14.042293930053711,2.859539477853104,0.29569508707718417
niveau,0.6067,25,0,11,0.07970048966881184,0.022102506645023823,0.07970048966881184,0.04510506190359592,0.0794755008071661,3817.427392578125,15.440988655090331,3.1454934256384144,0.3122824633713655
niveau,0.6067,25,0,12,0.07500921252948681,0.020796930231153966,0.07500921252948681,0.05966342061758041,0.07809979915618896,3845.2484765625,16.840401382446288,3.4314473734237247,0.3287350020231817
niveau,0.8413,25,0,1,0.5785002664299435,0.16260764747858047,0.5785002664299435,0.16090065464377404,0.2855490005016327,1146.8405859375,1.4089152669906617,0.28936985437137386,0.5996577458474289
niveau,0.8413,25,0,2,0.37596444171366417,0.10648512214422226,0.37596444171366417,0.14326012760400772,0.24312752425670625,1874.428115234375,2.8159821605682374,0.5787397087427477,0.41827940054863516
niveau,0.8413,25,0,3,0.2806882916785464,0.07886262029409409,0.2806882916785464,0.10224349766969681,0.2173796558380127,2506.78830078125,4.224203453063965,0.8681095631141216,0.3441607299310029
niveau,0.8413,25,0,4,0.2066179439289945,0.057599614262580874,0.2066179439289945,0.07886403035372495,0.19444413617253303,2947.54435546875,5.627407627105713,1.1574794174854954,0.29124786159893645
niveau,0.8413,25,0,5,0.16052347545681328,0.04434894233942032,0.16052347545681328,0.06120799627155066,0.15876838080585004,3290.953056640625,7.029954414367676,1.4468492718568693,0.2663108725442408
niveau,0.8413,25,0,6,0.13134825365215147,0.03621400348842144,0.13134825365215147,0.06735081639140844,0.12694252125918865,3521.6209375,8.430911636352539,1.7362191262282431,0.25829313015706445
niveau,0.8413,25,0,7,0.11947620700061717,0.032869094163179395,0.11947620700061717,0.05239902561530471,0.10796225853264332,3676.766376953125,9.830879325866698,2.025588980599617,0.26757856292301563
niveau,0.8413,25,0,8,0.10954016505324385,0.03007607698440552,0.10954016505324385,0.04302323754876852,0.09329915672540665,3755.28099609375,11.22652816772461,2.314958834970991,0.2788000003931278
niveau,0.8413,25,0,9,0.10032950619482223,0.027531222254037858,0.10032950619482223,0.05507809488102794,0.08465431220829486,3812.522265625,12.623349075317384,2.6043286893423647,0.2907468209521917
niveau,0.8413,25,0,10,0.09336379017913005,0.025635020807385445,0.09336379017913005,0.03492216007784009,0.07979048259556293,3845.936953125,14.024724960327148,2.8936985437137386,0.304938584353985
niveau,0.8413,25,0,11,0.08814385674197814,0.024184556007385255,0.08814385674197814,0.04401460209861398,0.07477876283228398,3874.610537109375,15.425099754333496,3.1830683980851124,0.3208761303343186
niveau,0.8413,25,0,12,0.08312477955438526,0.022780196219682695,0.08312477955438526,0.04836707551032305,0.07153480045497418,3893.7945703125,16.824871368408203,3.4724382524564863,0.33701453256421116
niveau,0.4893,50,0,1,0.5583958826517934,0.15762473106384278,0.5583958826517934,0.15451869010925293,0.2774499422311783,1148.91830078125,1.4098298978805541,0.30695606511241447,0.5796237069122431
niveau,0.4893,50,0,2,0.39476031725992955,0.11229033872485161,0.39476031725992955,0.12952376127243043,0.24730218857526778,1834.43708984375,2.8167087268829345,0.6139121302248289,0.43721596578082883
niveau,0.4893,50,0,3,0.2769612856418499,0.07751885995268822,0.2769612856418499,0.08372520178556442,0.2253195083141327,2346.197724609375,4.222536220550537,0.9208681953372434,0.34064475842319886
niveau,0.4893,50,0,4,0.20334321151243895,0.05620353408157826,0.20334321151243895,0.07408939070999622,0.18041837647557257,2789.937197265625,5.627279624938965,1.2278242604496579,0.2882545085542376
niveau,0.4893,50,0,5,0.16156116953276542,0.04450948938727379,0.16156116953276542,0.06027073349803686,0.15920311734080314,3127.776591796875,7.0318810081481935,1.5347803255620724,0.26770029083501373
niveau,0.4893,50,0,6,0.13206981628239453,0.036524414122104644,0.13206981628239453,0.05124150762334466,0.13685764722526073,3407.559736328125,8.43810432434082,1.8417363906744868,0.2594367618450925
niveau,0.4893,50,0,7,0.11235752939428093,0.031073420569300653,0.11235752939428093,0.04242366041988135,0.124017463773489,3547.57685546875,9.84269012451172,2.1486924557869016,0.2609522992174285
niveau,0.4893,50,0,8,0.10159851155903009,0.028012250140309333,0.10159851155903009,0.051998553834855556,0.1127868141978979,3666.25431640625,11.244773025512695,2.4556485208993157,0.27142110564262734
niveau,0.4893,50,0,9,0.09025202417725628,0.024893442317843437,0.09025202417725628,0.038392256498336795,0.10374579705297947,3722.38408203125,12.647208213806152,2.7626045860117303,0.28130244252130315
niveau,0.4893,50,0,10,0.0825350300520291,0.022866607904434205,0.0825350300520291,0.044954583551734685,0.1001533930748701,3750.717138671875,14.051705207824707,3.069560651124145,0.2948132726565257
niveau,0.4893,50,0,11,0.0761199862640734,0.02106936354190111,0.0761199862640734,0.053340377062559126,0.0944581090658903,3782.04630859375,15.45182460784912,3.376516716236559,0.3096260531290197
niveau,0.4893,50,0,12,0.07056519285370585,0.019562475085258484,0.07056519285370585,0.037151899076998236,0.09040444515645504,3809.761513671875,16.85417221069336,3.6834727813489736,0.3252990839791018
niveau,0.6067,50,0,1,0.5711085836809905,0.16069460719823836,0.5711085836809905,0.1564479051530361,0.28578478753566744,1149.193740234375,1.4099672365188598,0.3064671954528118,0.5923344524628018
niveau,0.6067,50,0,2,0.3722445796155865,0.10589870795607567,0.3722445796155865,0.12392743423581123,0.26416668236255647,1890.436552734375,2.8175476741790773,0.6129343909056236,0.41469631717920896
niveau,0.6067,50,0,3,0.2534255895195855,0.07057689890265464,0.2534255895195855,0.0701608208194375,0.21332537800073623,2550.78208984375,4.223070182800293,0.9194015863584355,0.3171031958650192
niveau,0.6067,50,0,4,0.1949973769367963,0.05408571615815163,0.1949973769367963,0.059794092923402785,0.18959132209420204,2934.105908203125,5.628285999298096,1.2258687818112473,0.2799008520640413
niveau,0.6067,50,0,5,0.1551240634418296,0.043017966747283934,0.1551240634418296,0.04000149559229613,0.14989517018198967,3292.22818359375,7.0307738304138185,1.5323359772640592,0.2612534073508858
niveau,0.6067,50,0,6,0.1324221482469075,0.036717105358839035,0.1324221482469075,0.04632903557270765,0.13140575602650642,3473.016337890625,8.435872383117676,1.838803172716871,0.259777360937775
niveau,0.6067,50,0,7,0.11578889855999476,0.03208758160471916,0.11578889855999476,0.045479938313364984,0.11757931455969811,3596.0670703125,9.836194534301757,2.1452703681696828,0.2643699800326735
niveau,0.6067,50,0,8,0.09971302059083474,0.027605777010321617,0.09971302059083474,0.02901393163949251,0.09649795845150948,3701.259482421875,11.23599308013916,2.4517375636224945,0.2695199708453247
niveau,0.6067,50,0,9,0.08941972651727056,0.024791737273335456,0.08941972651727056,0.037260943725705147,0.08806448936462402,3753.570185546875,12.63767219543457,2.7582047590753067,0.28045254555357174
niveau,0.6067,50,0,10,0.08101287146128229,0.02249355599284172,0.08101287146128229,0.036493345368653535,0.0835984543710947,3788.782724609375,14.037537956237793,3.0646719545281185,0.29327155927939474
niveau,0.6067,50,0,11,0.07610482472960198,0.02116293452680111,0.07610482472960198,0.030099822245538234,0.081086211130023,3827.889560546875,15.436273460388184,3.3711391499809302,0.3095893813295257
niveau,0.6067,50,0,12,0.07116683813355368,0.01979970242828131,0.07116683813355368,0.03488223768770695,0.07667754743248224,3847.073447265625,16.831270217895508,3.677606345433742,0.3258772635152886
niveau,0.548,100,1,1,0.605356058888595,0.16846660107374192,0.605356058888595,0.1959441065788269,0.28456021666526793,1171.55708984375,1.4086084508895873,0.37268509170738984,0.6268467992554246
niveau,0.548,100,1,2,0.4075269183450034,0.11264771580696106,0.4075269183450034,0.1453121356666088,0.2677378442883491,1856.77630859375,2.8134398746490477,0.7453701834147797,0.45050839907866247
niveau,0.548,100,1,3,0.28200778148803013,0.07800567299127578,0.28200778148803013,0.09523492276668549,0.21946346029639244,2450.952236328125,4.2181438446044925,1.1180552751221695,0.3464800025885188
niveau,0.548,100,1,4,0.21111058455556653,0.058905559182167055,0.21111058455556653,0.06888866186141968,0.19762742668390273,2880.96505859375,5.622028198242187,1.4907403668295593,0.29707354602288477
niveau,0.548,100,1,5,0.16499394096507702,0.045734240636229516,0.16499394096507702,0.07192608408629894,0.181649868786335,3228.71423828125,7.0262798309326175,1.8634254585369492,0.2724476427992248
niveau,0.548,100,1,6,0.13166046178966206,0.03636129036545754,0.13166046178966206,0.04637267991900444,0.14895681746304035,3460.60205078125,8.429517784118651,2.236110550244339,0.2606049039906394
niveau,0.548,100,1,7,0.11511335669299444,0.03187667682766914,0.11511335669299444,0.04446130033582449,0.12039440907537938,3621.71203125,9.831397552490234,2.608795641951729,0.26554853926080135
niveau,0.548,100,1,8,0.10226590352793469,0.028271766528487206,0.10226590352793469,0.048273585736751556,0.10280877158045769,3705.183955078125,11.227979164123536,2.9814807336591187,0.2741918264625711
niveau,0.548,100,1,9,0.09092672322910916,0.025231920182704926,0.09092672322910916,0.044970322586596015,0.0952600135654211,3763.88201171875,12.625333557128906,3.3541658253665085,0.28434338653057517
niveau,0.548,100,1,10,0.08322841782999263,0.023080911599099637,0.08322841782999263,0.03576145123690367,0.08537119790911675,3804.340966796875,14.020145683288574,3.7268509170738984,0.2981358214982882
niveau,0.548,100,1,11,0.07676515957512495,0.021273768804967404,0.07676515957512495,0.03334434203803539,0.0765867830067873,3825.304755859375,15.42021499633789,4.099536008781288,0.3131633036102501
niveau,0.548,100,1,12,0.07146157843359001,0.019770454540848734,0.07146157843359001,0.047766751497983935,0.07243692941963673,3845.667529296875,16.814217834472657,4.472221100488678,0.3293504628355447
niveau,0.4307,25,0,1,0.5849696816979649,0.1642147880792618,0.5849696816979649,0.16168978065252304,0.2775233721733093,1142.89986328125,1.4088951778411865,0.2831590510299429,0.6061023179020847
niveau,0.4307,25,0,2,0.4154493677307996,0.11730728849768639,0.4154493677307996,0.1338486734032631,0.26210930228233337,1815.798671875,2.815585107803345,0.5663181020598858,0.4577146401390391
