phi_model,param,svgd_iters,seed,n_exec,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s,J
niveau,0.4307,0,0,1,0.627575694660018,0.17572379648685454,0.627575694660018,0.19877572625875473,0.28075790882110596,1097.49146484375,1.4098540258407593,0.27863136212031037,0.647575694660018
niveau,0.4307,0,0,2,0.4384741670185589,0.12303115963935853,0.4384741670185589,0.15788511984050274,0.25782800137996675,1828.917841796875,2.8217040729522704,0.5572627242406207,0.4784741670185589
niveau,0.4307,0,0,3,0.274342810868702,0.07678743496537209,0.274342810868702,0.09290623605251312,0.2178567896783352,2431.648359375,4.232708625793457,0.8358940863609312,0.334342810868702
niveau,0.4307,0,0,4,0.20753909877057047,0.057493932470679285,0.20753909877057047,0.05968206388875842,0.19653307989239693,2897.735751953125,5.641066703796387,1.1145254484812415,0.2875390987705705
niveau,0.4307,0,0,5,0.1689462238692211,0.04671086810529232,0.1689462238692211,0.059223973080515864,0.17425490498542787,3229.713154296875,7.050974178314209,1.3931568106015522,0.26894622386922107
niveau,0.4307,0,0,6,0.14118564811935008,0.039146342501044276,0.14118564811935008,0.06077066410332918,0.1556983221322298,3471.617451171875,8.457682456970215,1.6717881727218624,0.2611856481193501
niveau,0.4307,0,0,7,0.12233467037960633,0.033881067633628845,0.12233467037960633,0.05144136779010296,0.12752999126911163,3609.5803125,9.866413536071777,1.950419534842173,0.26233467037960634
niveau,0.4307,0,0,8,0.10573110817944724,0.029254760071635248,0.10573110817944724,0.056960819624364376,0.109421970769763,3722.11,11.275848693847657,2.229050896962483,0.26573110817944723
niveau,0.4307,0,0,9,0.0931197205952561,0.025733058452606202,0.0931197205952561,0.04212165426462889,0.09686084009706974,3781.919892578125,12.681419410705566,2.5076822590827934,0.2731197205952561
niveau,0.4307,0,0,10,0.08522556215761128,0.023502337634563445,0.08522556215761128,0.039970944561064245,0.08912490263581276,3824.01494140625,14.08838249206543,2.7863136212031043,0.2852255621576113
niveau,0.4307,0,0,11,0.07910001585089667,0.021853790134191513,0.07910001585089667,0.03910815589129925,0.08621460519731045,3841.987763671875,15.49482364654541,3.0649449833234144,0.2991000158508967
niveau,0.4307,0,0,12,0.0738865314804106,0.020393726117908954,0.0738865314804106,0.042685557603836057,0.07693679943680763,3867.08443359375,16.89829216003418,3.343576345443725,0.31388653148041057
ucb,0.4597,0,0,1,0.627575694660018,0.17572379648685454,0.627575694660018,0.19877572625875473,0.28075790882110596,1097.49146484375,1.4098540258407593,0.2648656759822431,0.647575694660018
ucb,0.4597,0,0,2,0.42106605675541453,0.11939420729875565,0.42106605675541453,0.17171536684036254,0.2625088769197464,1803.131923828125,2.8208827114105226,0.5297313519644862,0.4610660567554145
ucb,0.4597,0,0,3,0.2733249552940097,0.076478700786829,0.2733249552940097,0.09733699411153793,0.225745025575161,2413.735966796875,4.231263504028321,0.7945970279467293,0.3333249552940097
ucb,0.4597,0,0,4,0.21171616537206506,0.059064006060361864,0.21171616537206506,0.07759306788444519,0.19789400801062584,2807.3280859375,5.641399402618408,1.0594627039289723,0.2917161653720651
ucb,0.4597,0,0,5,0.16438225812116575,0.0453988952934742,0.16438225812116575,0.06044373534619808,0.18101327873766423,3027.27322265625,7.052254505157471,1.3243283799112155,0.2643822581211658
ucb,0.4597,0,0,6,0.14147191537273318,0.0388705350458622,0.14147191537273318,0.05992135480046272,0.16635576002299785,3293.79048828125,8.462896919250488,1.5891940558934585,0.2614719153727332
ucb,0.4597,0,0,7,0.12521788333573755,0.034448832869529725,0.12521788333573755,0.056026180051267145,0.147741426974535,3475.625107421875,9.873519821166992,1.8540597318757017,0.2652178833357376
ucb,0.4597,0,0,8,0.10871082985603361,0.029894331023097038,0.10871082985603361,0.05019463948905468,0.13509999871253967,3584.67623046875,11.281289024353027,2.1189254078579447,0.2687108298560336
ucb,0.4597,0,0,9,0.09853934045776233,0.027073187455534935,0.09853934045776233,0.04384300967678428,0.1187278401106596,3674.36173828125,12.690776596069336,2.3837910838401877,0.2785393404577623
ucb,0.4597,0,0,10,0.08836228792462425,0.024448951184749605,0.08836228792462425,0.0499501296132803,0.10417638756334782,3720.453857421875,14.100880661010741,2.648656759822431,0.28836228792462426
ucb,0.4597,0,0,11,0.08230428384098885,0.022722488939762114,0.08230428384098885,0.03982150629162788,0.09749468758702279,3764.688818359375,15.509789428710938,2.9135224358046736,0.30230428384098884
ucb,0.4597,0,0,12,0.07799591637743125,0.021511947885155678,0.07799591637743125,0.03226846493780613,0.09523539885878562,3784.53345703125,16.920215911865235,3.178388111786917,0.31799591637743124
niveau,0.6653,0,1,1,0.6774123094926897,0.18667216956615448,0.6774123094926897,0.2258574292063713,0.29410561561584475,1068.801865234375,1.4085367298126221,0.2790310874969388,0.6974123094926897
niveau,0.6653,0,1,2,0.4565781737466772,0.12790536642074585,0.4565781737466772,0.16402842223644257,0.2715963450074196,1839.458916015625,2.8192978858947755,0.5580621749938776,0.4965781737466772
