seed,shape,runde,n_max,kandidat,modell,param,svgd,runde,rest,mu_masse,mu_max,mu_konzentration,mu_traeger,sd_mittel,sd_q10,sd_q90,besucht_anteil,besucht_mittel,glaube_cov,pos_x,pos_y,pos_zu_schwerpunkt,weg_laenge,n_obs,score_roh,score_norm,ist_bester
0,A,0,10,0,ucb,0.15,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1
0,A,0,10,1,ucb,0.15,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,2,ucb,0.15,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,3,ucb,0.6082,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,4,ucb,0.6082,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,5,ucb,0.6082,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,6,ucb,2.4662,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,7,ucb,2.4662,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,8,ucb,2.4662,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,9,ucb,10.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,10,ucb,10.0,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,11,ucb,10.0,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,12,eid,0.15,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,13,eid,0.15,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,14,eid,0.15,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,15,eid,0.6082,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,16,eid,0.6082,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,17,eid,0.6082,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,18,eid,2.4662,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,19,eid,2.4662,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,20,eid,2.4662,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,21,eid,10.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,22,eid,10.0,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,23,eid,10.0,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,24,mass,0.05,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,25,mass,0.05,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,26,mass,0.05,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,27,mass,0.35,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,28,mass,0.35,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,29,mass,0.35,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,30,mass,0.65,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,31,mass,0.65,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,32,mass,0.65,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,33,mass,0.95,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,34,mass,0.95,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,35,mass,0.95,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,36,niveau,0.02,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,37,niveau,0.02,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,38,niveau,0.02,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,39,niveau,0.3133,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,40,niveau,0.3133,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,41,niveau,0.3133,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,42,niveau,0.6067,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,43,niveau,0.6067,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,44,niveau,0.6067,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,45,niveau,0.9,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,46,niveau,0.9,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,A,0,10,47,niveau,0.9,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,greek_upper_0,0,10,0,ucb,0.15,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1
0,greek_upper_0,0,10,1,ucb,0.15,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,greek_upper_0,0,10,2,ucb,0.15,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,greek_upper_0,0,10,3,ucb,0.6082,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,greek_upper_0,0,10,4,ucb,0.6082,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,greek_upper_0,0,10,5,ucb,0.6082,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,greek_upper_0,0,10,6,ucb,2.4662,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,greek_upper_0,0,10,7,ucb,2.4662,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,greek_upper_0,0,10,8,ucb,2.4662,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,greek_upper_0,0,10,9,ucb,10.0,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,greek_upper_0,0,10,10,ucb,10.0,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,greek_upper_0,0,10,11,ucb,10.0,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,greek_upper_0,0,10,12,eid,0.15,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,greek_upper_0,0,10,13,eid,0.15,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,greek_upper_0,0,10,14,eid,0.15,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
