phi_model,param,svgd_iters,seed,n_exec,J,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s
niveau,0.6067,25,0,6,0.258123386020104,0.13126049127325654,0.03652681715786457,0.13126049127325654,0.04938305247575045,0.1460848133265972,3470.705419921875,8.437445487976074,1.7157236867118624
niveau,0.8413,25,0,6,0.25829313015706445,0.13134825365215147,0.03621400348842144,0.13134825365215147,0.06735081639140844,0.12694252125918865,3521.6209375,8.430911636352539,1.7362191262282431
niveau,0.4893,50,0,6,0.2594367618450925,0.13206981628239453,0.036524414122104644,0.13206981628239453,0.05124150762334466,0.13685764722526073,3407.559736328125,8.43810432434082,1.8417363906744868
niveau,0.6067,50,0,6,0.259777360937775,0.1324221482469075,0.036717105358839035,0.1324221482469075,0.04632903557270765,0.13140575602650642,3473.016337890625,8.435872383117676,1.838803172716871
niveau,0.548,100,1,6,0.2606049039906394,0.13166046178966206,0.03636129036545754,0.13166046178966206,0.04637267991900444,0.14895681746304035,3460.60205078125,8.429517784118651,2.236110550244339
niveau,0.4307,25,0,7,0.2608811329306571,0.1129526795018187,0.03108527310192585,0.1129526795018187,0.03150408649817109,0.1252192524075508,3563.68994140625,9.846767234802247,1.9821133572096006
niveau,0.4893,100,1,7,0.2613903976206373,0.11094109040582088,0.030836890861392022,0.11094109040582088,0.04797566909343004,0.12555987812578678,3566.10638671875,9.822946243286133,2.6123268037041028
niveau,0.724,25,0,5,0.26210955785419005,0.15634863427448228,0.04306603044271469,0.15634863427448228,0.05622708782553673,0.146634951159358,3269.686962890625,7.033182277679443,1.4402308949269356
niveau,0.548,25,0,6,0.2623550936697573,0.13553348092361917,0.03745679900050163,0.13553348092361917,0.06319367449730634,0.13978060111403465,3410.225751953125,8.448710975646973,1.7054031865345314
niveau,0.4893,100,0,6,0.2631445751749993,0.13419345491866477,0.03728224851191044,0.13419345491866477,0.046052069179713724,0.14709574595093727,3398.028330078125,8.429866790771484,2.237780064083636
niveau,0.724,50,0,6,0.26320275251050707,0.1358588152830232,0.03720509178936481,0.1358588152830232,0.05024444187059998,0.1325641964375973,3507.154404296875,8.426717681884766,1.83598430687096
niveau,0.548,100,0,6,0.26337143423671405,0.13443330989532673,0.037138621658086776,0.13443330989532673,0.06049345115199685,0.13733377672731875,3459.047041015625,8.42736026763916,2.234531085346825
niveau,0.724,100,0,5,0.26368160189551776,0.15625009361370634,0.042987345829606054,0.15625009361370634,0.06871259804815054,0.15944925747811795,3276.52646484375,7.025832042694092,1.8578770704528629
niveau,0.6067,200,0,6,0.2636985330444083,0.13158667068020186,0.036628402173519134,0.13158667068020186,0.049928691722452644,0.14383620426058769,3389.901044921875,8.421680793762206,3.0279655910516157
