phi_model,param,svgd_iters,seed,n_exec,J,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s
niveau,0.4307,0,0,6,0.2611856481193501,0.14118564811935008,0.039146342501044276,0.14118564811935008,0.06077066410332918,0.1556983221322298,3471.617451171875,8.457682456970215,1.6717881727218624
ucb,0.4597,0,0,6,0.2614719153727332,0.14147191537273318,0.0388705350458622,0.14147191537273318,0.05992135480046272,0.16635576002299785,3293.79048828125,8.462896919250488,1.5891940558934585
niveau,0.6653,0,1,6,0.2617407102699625,0.14174071026996246,0.039358906149864196,0.14174071026996246,0.06233053430914879,0.1521475148200989,3520.186025390625,8.448098220825194,1.6741865249816328
mass,0.47,0,1,6,0.2620143667867476,0.14201436678674761,0.03989996306598186,0.14201436678674761,0.04638335198163986,0.15319024369120599,3250.650126953125,8.457634506225586,1.6655792820686475
niveau,0.6067,0,0,7,0.2628135399059061,0.12281353990590609,0.03363901771605015,0.12281353990590609,0.05225223578512669,0.12044716872274876,3659.148095703125,9.858903045654296,1.9515012297833647
niveau,0.7827,0,0,6,0.26285278059603323,0.14285278059603324,0.03955156795680523,0.14285278059603324,0.06697805020958185,0.14030233450233937,3555.072802734375,8.451441802978515,1.6813472158275544
niveau,0.548,0,0,6,0.26301562915606364,0.14301562915606364,0.039600816518068314,0.14301562915606364,0.059545040540397165,0.1610884864628315,3440.580146484375,8.456708869934083,1.6680301668867465
niveau,0.4893,0,1,7,0.2640081831580646,0.1240081831580646,0.03426482617855072,0.1240081831580646,0.07171809554100037,0.1363317807763815,3652.365068359375,9.86166675567627,1.9684997296504059
niveau,0.548,0,1,7,0.2641022148082417,0.12410221480824166,0.03417450182139874,0.12410221480824166,0.052438938282430174,0.1307347748428583,3636.94798828125,9.863637542724609,1.9703630968408348
niveau,0.9,0,0,6,0.2648137357639845,0.14481373576398446,0.03971802361309528,0.14481373576398446,0.05820596121251583,0.12915779739618302,3569.499287109375,8.438931694030762,1.6869292781222611
mass,0.71,0,0,6,0.2651884594604934,0.1451884594604934,0.040060702860355374,0.1451884594604934,0.07127706415951252,0.14714087039232254,3439.2257421875,8.458207130432129,1.6421479613054544
niveau,0.6653,0,0,6,0.2651924289232931,0.1451924289232931,0.03979354575276375,0.1451924289232931,0.08138769686222076,0.13660125158727168,3499.755439453125,8.453014106750489,1.6769015200994908
niveau,0.7827,0,1,7,0.2654431675805378,0.1254431675805378,0.03441284470260143,0.1254431675805378,0.04719905145466328,0.12215890213847161,3640.838564453125,9.853898620605468,1.9477471906691788
niveau,0.724,0,0,7,0.2661339022040984,0.12613390220409837,0.03471998997032642,0.12613390220409837,0.059960880279541016,0.11313451506197453,3663.034560546875,9.853917388916015,1.9643758286465893
niveau,0.4893,0,0,7,0.26629535214386224,0.12629535214386223,0.03456105746328831,0.12629535214386223,0.06713731966912746,0.1246882651746273,3664.391953125,9.864385452270508,1.942488048396384
ucb,0.2626,0,0,6,0.26751318950963276,0.14751318950963277,0.04093243561685085,0.14751318950963277,0.05419083122164011,0.1815984608978033,3218.6060546875,8.457930641174316,1.5143426119489596
niveau,0.6067,0,1,7,0.26760406948504134,0.12760406948504135,0.034884520545601844,0.12760406948504135,0.06909908019006253,0.12959929697215558,3632.20302734375,9.85483657836914,1.9565524900960738
niveau,0.372,0,0,6,0.26767240119608526,0.14767240119608527,0.040781638845801355,0.14767240119608527,0.06379319451749325,0.15584022492170335,3430.63380859375,8.460393676757812,1.6640731959603727
niveau,0.3133,0,0,7,0.268559745312714,0.12855974531271397,0.035268501490354535,0.12855974531271397,0.05496654912829399,0.12762851156294347,3609.08265625,9.868704719543457,1.9329405168568095
niveau,0.724,0,1,7,0.26898160585033526,0.12898160585033522,0.035586788728833196,0.12898160585033522,0.05417882613837719,0.11932840764522552,3671.982763671875,9.85145751953125,1.9575530637746366
mass,0.77,0,0,6,0.26902548043305885,0.14902548043305888,0.041061926037073135,0.14902548043305888,0.04732218869030476,0.13184983253479005,3513.250380859375,8.462819480895996,1.6421148932678624
ucb,0.6082,0,0,6,0.269238225654093,0.149238225654093,0.04079510003328323,0.149238225654093,0.06990629747509956,0.1659816800057888,3322.4275,8.461914176940917,1.6020791552914304
niveau,0.8413,0,0,6,0.2694890332148906,0.1494890332148906,0.04101370014250279,0.1494890332148906,0.049405171275138854,0.13287950821220876,3574.879609375,8.438895225524902,1.6828594959620389
ucb,1.0648,0,0,7,0.2702672577408323,0.1302672577408323,0.035866742730140684,0.1302672577408323,0.0451845321431756,0.12104436621069908,3626.076708984375,9.870835571289062,1.8793713017149523
eid,3.2631,0,0,7,0.2708086390805313,0.13080863908053128,0.03673380620777607,0.13080863908053128,0.06651440396904945,0.15476461961865426,3004.16802734375,9.84924991607666,1.9697371502166305
niveau,0.8413,0,1,6,0.2712832001228401,0.15128320012284008,0.04164220578968525,0.15128320012284008,0.05103730484843254,0.1358764872699976,3562.135,8.44439380645752,1.660097342445515
mass,0.53,0,1,6,0.27134051781250196,0.15134051781250196,0.04202035404741764,0.15134051781250196,0.0454618564248085,0.16345821999013424,3286.20642578125,8.459855918884278,1.6711861188616604
mass,0.83,0,0,7,0.2716913499886271,0.1316913499886271,0.03627201586961746,0.1316913499886271,0.07013368129730224,0.11367770209908486,3695.720703125,9.873505363464355,1.9112940703410037
mass,0.47,0,0,7,0.2718193904559998,0.13181939045599975,0.036816608905792234,0.13181939045599975,0.054637754037976265,0.14813982285559177,3306.01408203125,9.863833656311035,1.9233176550789113
mass,0.71,0,1,7,0.2720858785955105,0.13208587859551044,0.03617258168756962,0.13208587859551044,0.054296131730079654,0.12739111229777336,3632.39791015625,9.869302749633789,1.9629441471809213
ucb,0.8047,0,0,6,0.272184242745954,0.15218424274595402,0.04195297077298164,0.15218424274595402,0.06333453077822923,0.14961712568998337,3356.8389453125,8.463355293273926,1.6057061838777735
eid,4.3174,0,0,7,0.27227606673966526,0.13227606673966524,0.03742223482578993,0.13227606673966524,0.07978655070066452,0.18256313279271125,2948.801845703125,9.857108459472656,1.9719911250262523
eid,5.7123,0,0,8,0.27242716583743243,0.1124271658374324,0.03156783051788807,0.1124271658374324,0.0650365524739027,0.14360119961202145,3200.633017578125,11.259082412719726,2.2548673162795603
eid,10.0,0,1,7,0.2726718565438897,0.13267185654388966,0.0372580960392952,0.13267185654388966,0.06274140253663063,0.16273800358176232,3088.67115234375,9.85433464050293,1.924673442330677
mass,0.59,0,0,7,0.27285740463109953,0.13285740463109952,0.03644902989268303,0.13285740463109952,0.06285964965820312,0.14803365588188172,3486.636474609375,9.865101203918456,1.917728414609252
niveau,0.4307,0,1,6,0.2735175974117101,0.15351759741171012,0.04201229974627495,0.15351759741171012,0.05926544591784477,0.15177438251674175,3469.1896484375,8.453732109069824,1.694652051427402
mass,0.65,0,0,7,0.27375363899881533,0.1337536389988153,0.037370455116033555,0.1337536389988153,0.057998572811484336,0.14268737308681012,3449.543427734375,9.871807403564453,1.9162015340050371
ucb,0.1985,0,0,7,0.2737728512929563,0.1337728512929563,0.03710503377020359,0.1337728512929563,0.05967186197638512,0.14830151170492173,3185.165234375,9.864047241210937,1.6853474940390638
ucb,0.3474,0,1,6,0.27392589570153514,0.15392589570153517,0.042955959290266035,0.15392589570153517,0.06478634670376777,0.16371369794011115,3235.033173828125,8.456957969665527,1.64738039935939
mass,0.41,0,1,7,0.2747697435135025,0.13476974351350246,0.0382574512809515,0.13476974351350246,0.049970877692103385,0.13652560114860535,3326.362880859375,9.860842094421386,1.945613086097874
niveau,0.2547,0,0,7,0.27523194593732836,0.13523194593732835,0.03739823065698147,0.13523194593732835,0.07926154371351003,0.15173558108508586,3519.72205078125,9.867578086853028,1.9334086780746778
ucb,0.15,0,1,7,0.275543513721301,0.13554351372130097,0.03824748553335667,0.13554351372130097,0.055077580362558366,0.1652490358054638,3262.175361328125,9.860825653076171,1.6840415712880592
niveau,0.196,0,0,7,0.2756741110242814,0.13567411102428137,0.03770737200975418,0.13567411102428137,0.06926776852458716,0.13884245082736016,3563.435888671875,9.869872245788574,1.9257864920399153
ucb,1.864,0,0,7,0.2757997496331395,0.1357997496331395,0.03710446193814278,0.1357997496331395,0.06098840955644846,0.11213848151266576,3704.589736328125,9.871608123779296,1.9015253474881562
mass,0.53,0,0,7,0.27580070141468266,0.13580070141468265,0.037740012034773826,0.13580070141468265,0.06588840864598751,0.13042635321617127,3419.972666015625,9.868916625976562,1.91574639636868
eid,7.558,0,0,7,0.2758576801985273,0.13585768019852731,0.03823703311383724,0.13585768019852731,0.05621934100985527,0.15361304849386215,3001.83654296875,9.851368713378907,1.982612802276854
mass,0.65,0,1,7,0.2760413252711406,0.1360413252711406,0.03767186321318149,0.1360413252711406,0.06522556345909834,0.13192004531621934,3532.349443359375,9.868119125366212,1.9538189515386093
eid,1.0648,0,0,8,0.27626345912208966,0.11626345912208964,0.032880254946649076,0.11626345912208964,0.060683642067015174,0.1600801604986191,3066.035595703125,11.258226509094237,2.2577093536034223
mass,0.59,0,1,7,0.2764877353419994,0.13648773534199937,0.037714804261922835,0.13648773534199937,0.05653755813837051,0.13043126352131368,3544.328681640625,9.869400711059571,1.9547388578470173
mass,0.77,0,1,6,0.276534774154213,0.156534774154213,0.04325394600629807,0.156534774154213,0.0633567351475358,0.14614201441407204,3502.98869140625,8.463563499450684,1.6870345851639286
eid,0.3474,0,1,7,0.2765620311310464,0.13656203113104637,0.03903260909020901,0.13656203113104637,0.05949697397649288,0.1783863262832165,2906.97970703125,9.852625617980957,1.9897367593467543
niveau,0.2547,0,1,7,0.27661075892681564,0.13661075892681565,0.038062894120812416,0.13661075892681565,0.06895248711109161,0.13153597727417946,3602.605869140625,9.86834140777588,1.9803146475312923
ucb,0.8047,0,1,7,0.2769080087642607,0.1369080087642607,0.03840517684817314,0.1369080087642607,0.06269533351063729,0.12468999795615673,3527.191923828125,9.871845588684081,1.9674430778141445
ucb,1.4088,0,0,7,0.2775868321492922,0.13758683214929218,0.037323088720440864,0.13758683214929218,0.07159450499340891,0.1295791732519865,3622.7783203125,9.871495056152344,1.8942285053455272
eid,7.558,0,1,8,0.2781900548325278,0.11819005483252781,0.033211973160505295,0.11819005483252781,0.07805044153705239,0.15018405698239803,3187.32951171875,11.254606742858886,2.198329182763894
mass,0.35,0,0,7,0.27861896437760175,0.13861896437760174,0.038439409881830214,0.13861896437760174,0.06781151678413153,0.16972819060087205,3142.167431640625,9.86143741607666,1.9464922330000751
