model,shape,E_ergodic,E_smooth,E_boundary,E_total,coverage,path_len
ErgLoss w=2 (ep492),A,4.547632694244385,0.5583543181419373,0.0,5.105987071990967,0.0431189201772213,2.5309832096099854
ErgLoss w=2 (ep492),greek_upper_0,4.906017303466797,0.32278716564178467,0.0,5.228804588317871,0.04442157596349716,2.3926749229431152
ErgLoss w=2 (ep492),korean_5,2.985358715057373,0.6787555813789368,0.0,3.664114475250244,0.05444769561290741,3.2317709922790527
ErgLoss w=2 (ep492),digit_5,2.4553611278533936,0.21774326264858246,0.0,2.6731045246124268,0.046641409397125244,2.565960168838501
ErgLoss w=2 (ep492),a_lc,1.9764673709869385,0.33149075508117676,0.0,2.3079581260681152,0.04191497713327408,2.4522342681884766
ErgLoss w=2 (ep492),rand_gmm_10,4.06239652633667,0.32189273834228516,0.0,4.384289264678955,0.0765674039721489,2.923337936401367
ErgLoss w=2 (ep492),rand_gmm_20,4.256255149841309,0.20639652013778687,0.0,4.46265172958374,0.07598667591810226,2.592772960662842
ErgLoss w=2 (ep492),rand_ana_poly_10,5.10788631439209,0.7791516780853271,0.0,5.887038230895996,0.03983443230390549,2.917435884475708
ErgLoss w=2 (ep492),rand_ana_poly_20,6.319011211395264,0.932120680809021,0.016479233279824257,7.267611503601074,0.04406188428401947,2.8789925575256348
ErgLoss w=2 (ep492),rand_ana_poly_30,8.35777759552002,0.307453453540802,0.0,8.665230751037598,0.042289040982723236,2.3959250450134277
ErgLoss w=2 (ep492),rand_gmm_complex_0,8.363591194152832,0.5962862372398376,0.0,8.959877014160156,0.08263596892356873,2.9985737800598145
ErgLoss w=2 (ep492),rand_gmm_complex_10,11.372222900390625,0.312989741563797,0.01691311039030552,11.702125549316406,0.07481421530246735,3.017301082611084
ErgLoss w=2 (ep492),rand_gmm_complex_20,5.597532272338867,0.29403334856033325,0.0029034526087343693,5.894469261169434,0.0787518322467804,3.4461121559143066
ErgLoss w=2 (ep492),rand_gmm_complex_30,5.1607770919799805,0.3781064450740814,0.0,5.538883209228516,0.07163198292255402,3.49411678314209
ErgLoss w=2 (ep492),rand_ana_poly_complex_0,1.1823633909225464,0.3114999532699585,0.0,1.4938633441925049,0.04946056008338928,2.1477136611938477
ErgLoss w=2 (ep492),rand_ana_poly_complex_10,1.7020825147628784,0.6438870429992676,0.0,2.3459694385528564,0.05353478342294693,2.454599380493164
ErgLoss w=2 (ep492),rand_ana_poly_complex_20,3.612825870513916,0.3715571165084839,0.0,3.9843828678131104,0.03848922252655029,3.117466926574707
ErgLoss w=2 (ep492),rand_ana_poly_complex_30,1.9730267524719238,0.5672848224639893,0.0,2.540311574935913,0.04070339724421501,2.7055177688598633
ErgLoss w=2 (ep492),organic_0,3.4620838165283203,0.3190021216869354,0.0,3.781085968017578,0.04741836339235306,3.04422664642334
ErgLoss w=2 (ep492),organic_10,3.361313581466675,0.8524367213249207,0.007926616817712784,4.221676826477051,0.042886387556791306,2.929067611694336
ErgLoss w=2 (ep492),organic_20,2.253718376159668,0.6441309452056885,0.037146855145692825,2.9349961280822754,0.050586700439453125,2.291825532913208
ErgLoss w=2 (ep492),organic_30,2.3866372108459473,0.2638510465621948,0.0,2.6504883766174316,0.032157450914382935,1.6083937883377075
ErgLoss w=2 (ep492),cjk_0,3.790701389312744,0.8004992604255676,0.0,4.591200351715088,0.056475259363651276,3.926222324371338
ErgLoss w=2 (ep492),cjk_10,1.9244314432144165,0.6788923740386963,0.0,2.6033239364624023,0.047616906464099884,3.3701181411743164
ErgLoss w=2 (ep492),cjk_20,5.227738380432129,0.6604735851287842,0.0,5.888212203979492,0.05868036299943924,3.4588444232940674
ErgLoss w=5 (ep500),A,4.624198913574219,0.27890124917030334,0.0,4.903100490570068,0.045014701783657074,2.346646785736084
ErgLoss w=5 (ep500),greek_upper_0,3.7486376762390137,0.24573703110218048,0.0,3.9943745136260986,0.044034428894519806,2.3442161083221436
ErgLoss w=5 (ep500),korean_5,2.5604987144470215,0.5886414051055908,0.0,3.149139881134033,0.05373847857117653,3.197448968887329
