shape,mission,coverage,ergodic,info_gain,belief_rmse,path_len,wallclock
A,orakel,0.039193253964185715,0.019409161061048508,828.3614501953125,0.16323335468769073,5.079516410827637,0.8297302999999374
A,glaube-1,0.06803112477064133,0.31173720955848694,1430.48828125,0.11165378987789154,8.622157096862793,0.6436944999732077
A,glaube-R,0.02134864218533039,0.037594858556985855,1891.329833984375,0.057770024985075,25.677913665771484,1.9414610999810975
A,zweistufig,0.03442149981856346,0.14923737943172455,1708.073486328125,0.0781295895576477,15.556392669677734,1.3048349000164308
A,glaube-D,0.022323833778500557,0.06387872993946075,2005.1737060546875,0.03415144979953766,32.47119903564453,19.746792900026776
A,maeher,0.02667892724275589,0.052016377449035645,1293.43896484375,0.07892291992902756,32.560001373291016,0.0
greek_upper_0,orakel,0.034076109528541565,0.011952739208936691,765.525390625,0.1667773425579071,4.280295372009277,0.6461934999970254
greek_upper_0,glaube-1,0.05239494889974594,0.21204951405525208,1531.8795166015625,0.08602862060070038,7.957752227783203,0.6497631999955047
greek_upper_0,glaube-R,0.02137148380279541,0.05969027057290077,1807.2911376953125,0.07153472304344177,25.06580924987793,1.9323507999943104
greek_upper_0,zweistufig,0.0329216904938221,0.12392233312129974,1707.60205078125,0.08551111072301865,14.046091079711914,1.2938913000107277
greek_upper_0,glaube-D,0.02346697263419628,0.0918213427066803,2009.5267333984375,0.034730855375528336,30.65369415283203,19.732204499974614
greek_upper_0,maeher,0.02393483929336071,0.05116337165236473,1315.27734375,0.1401999443769455,30.799999237060547,0.0
korean_5,orakel,0.050911795347929,0.018669703975319862,868.75048828125,0.10347845405340195,5.736970901489258,0.6483850999793503
korean_5,glaube-1,0.05275596305727959,0.14706416428089142,1503.2486572265625,0.10968323051929474,9.694122314453125,0.6501611999992747
korean_5,glaube-R,0.023025676608085632,0.05003677308559418,1846.8876953125,0.07443489134311676,28.977096557617188,1.9459275999979582
korean_5,zweistufig,0.037442296743392944,0.1397690325975418,1603.36572265625,0.10251911729574203,15.854584693908691,1.3169359999883454
korean_5,glaube-D,0.024860868230462074,0.054938722401857376,2007.9923095703125,0.041182585060596466,39.4833984375,19.753554599970812
